#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_10_length_128618_cov_49.835733	4223	5356	cardnewid_2338	1-1134/1134	===============	0/0	100.00	100.00	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_13_length_106436_cov_46.206235	32543	33847	cardnewid_1960	1-1305/1305	===============	0/0	100.00	99.92	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_13_length_106436_cov_46.206235	65246	68359	cardnewid_1337	1-3114/3114	===============	0/0	100.00	100.00	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_13_length_106436_cov_46.206235	89045	89521	cardnewid_1625	1-477/477	===============	0/0	100.00	98.32	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_14_length_106276_cov_50.790845	38161	39804	cardnewid_609	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_14_length_106276_cov_50.790845	69440	70471	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_14_length_106276_cov_50.790845	70471	72522	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_14_length_106276_cov_50.790845	72519	73985	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_15_length_104379_cov_47.808652	82222	83379	cardnewid_2001	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_16_length_103423_cov_47.392865	18895	20121	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_16_length_103423_cov_47.392865	28750	29958	cardnewid_349	1-1209/1209	===============	0/0	100.00	99.92	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_17_length_102730_cov_54.112953	35882	36412	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_17_length_102730_cov_54.112953	36539	37711	cardnewid_1650	1-1173/1173	===============	0/0	100.00	100.00	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_17_length_102730_cov_54.112953	37728	39266	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_18_length_97544_cov_48.483405	26384	29977	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.97	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_18_length_97544_cov_48.483405	29982	30596	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_18_length_97544_cov_48.483405	31120	32175	cardnewid_568	1-1056/1056	===============	0/0	100.00	100.00	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_18_length_97544_cov_48.483405	32175	33713	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	16225	17472	cardnewid_360	1-1248/1248	===============	0/0	100.00	99.92	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	17472	20594	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.30	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	20595	23672	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.38	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	25085	26488	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	26485	27207	cardnewid_1255	1-723/723	===============	0/0	100.00	99.86	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	174495	176138	cardnewid_2133	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_1_length_273715_cov_46.989778	234594	235562	cardnewid_1968	1-969/969	===============	0/0	100.00	100.00	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	5904	6166	cardnewid_1125	968-1230/1230	...........====	0/0	21.38	99.62	cardformatted	001125	cardformatted~~~cardnewid_1125~~~001125
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	7927	8718	cardnewid_368	1-792/792	===============	0/0	100.00	100.00	cardformatted	000368	cardformatted~~~cardnewid_368~~~000368
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	9898	10230	cardnewid_2041	1-333/333	===============	0/0	100.00	91.59	cardformatted	002041	cardformatted~~~cardnewid_2041~~~002041
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	10400	11201	cardnewid_2295	171-972/972	..=============	0/0	82.51	99.75	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	11284	12543	cardnewid_974	1-1260/1260	===============	0/0	100.00	99.92	cardformatted	000974	cardformatted~~~cardnewid_974~~~000974
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	12805	13584	cardnewid_1151	1-780/780	===============	0/0	100.00	100.00	cardformatted	001151	cardformatted~~~cardnewid_1151~~~001151
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_20_length_93439_cov_71.144706	15229	15437	cardnewid_1952	1-209/786	====...........	0/0	26.59	99.52	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
2891b4ca-8b22-4be6-a975-514989802dbd_1_contigs.fa	NODE_21_length_92090_cov_48.436047	8080	8757	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
