#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_10_length_152733_cov_41.787352	46856	47180	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_10_length_152733_cov_41.787352	47172	47530	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_13_length_135130_cov_43.968960	18029	19672	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_13_length_135130_cov_43.968960	42329	43360	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_13_length_135130_cov_43.968960	43360	45411	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_13_length_135130_cov_43.968960	45408	46874	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_14_length_134701_cov_42.339635	54724	55254	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_14_length_134701_cov_42.339635	55381	56553	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_14_length_134701_cov_42.339635	56570	58108	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.51	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_16_length_123673_cov_41.797032	9522	9996	cardnewid_1625	3-477/477	===============	0/0	99.58	97.47	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_17_length_123251_cov_44.635743	60788	62161	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.84	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_18_length_119728_cov_47.861464	8472	9144	cardnewid_2055	1-673/678	===============	0/0	99.26	97.03	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_1_length_304978_cov_45.044280	118446	120194	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.03	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_1_length_304978_cov_45.044280	201923	203155	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_24_length_68775_cov_42.355644	49495	49878	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_27_length_60018_cov_41.971038	21572	22876	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.62	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_27_length_60018_cov_41.971038	53994	57107	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.10	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_28_length_48850_cov_43.641625	16681	17907	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_28_length_48850_cov_43.641625	26538	27746	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.84	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_29_length_44725_cov_43.134362	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_29_length_44725_cov_43.134362	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_29_length_44725_cov_43.134362	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.25	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_2_length_295433_cov_49.166287	132771	133928	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_2_length_295433_cov_49.166287	218787	221936	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_2_length_295433_cov_49.166287	221959	223152	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_31_length_43616_cov_83.209651	41726	42562	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_31_length_43616_cov_83.209651	42562	43365	cardnewid_1722	1-804/804	===============	0/0	100.00	99.88	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_32_length_43164_cov_43.490101	26381	29974	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.44	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_32_length_43164_cov_43.490101	29979	30593	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
db22b88f-aafe-4465-82cb-ad6453e2ca36_1_contigs.fa	NODE_32_length_43164_cov_43.490101	31117	32172	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.62	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
