#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_10_length_184149_cov_21.341410	39031	39706	cardnewid_2055	1-676/678	===============	0/0	99.71	95.86	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_11_length_157345_cov_19.263760	21171	21584	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_12_length_151783_cov_21.190948	73472	73946	cardnewid_1625	3-477/477	===============	0/0	99.58	95.58	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_12_length_151783_cov_21.190948	94653	97766	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.97	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_12_length_151783_cov_21.190948	129125	129207	cardnewid_1960	1-83/1305	=..............	0/0	6.36	98.80	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_13_length_134367_cov_24.073550	118658	119290	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_14_length_126136_cov_25.738845	60901	62274	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.89	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_18_length_104905_cov_21.543042	96805	97137	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_1_length_450558_cov_18.938561	12247	13655	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_1_length_450558_cov_18.938561	426940	427298	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_1_length_450558_cov_18.938561	427290	427614	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_20_length_76662_cov_24.612091	489	1313	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_20_length_76662_cov_24.612091	1682	2410	cardnewid_2042	1-729/729	===============	0/0	100.00	95.88	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_20_length_76662_cov_24.612091	2773	5886	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.27	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_20_length_76662_cov_24.612091	5911	7068	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.19	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_21_length_71588_cov_18.940806	16981	17364	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_24_length_62050_cov_47.298969	60878	61738	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
a8482485-ed17-45b3-b687-1fd534c5ba2f_1_contigs.fa	NODE_2_length_411035_cov_20.582824	42047	43294	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.36	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
