#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_10_length_151735_cov_50.673318	120087	121835	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.37	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_12_length_130565_cov_49.944048	101881	103113	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.24	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_13_length_125972_cov_48.645975	19548	22661	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.07	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_13_length_125972_cov_48.645975	53779	55083	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.62	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_13_length_125972_cov_48.645975	112876	116469	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.47	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_13_length_125972_cov_48.645975	116474	117088	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_13_length_125972_cov_48.645975	117612	118667	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_13_length_125972_cov_48.645975	118667	120205	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.68	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_15_length_115413_cov_47.801649	27759	29167	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
e408ac89-44da-4f60-8b84-d882fb298670_1_contigs.fa	NODE_15_length_115413_cov_47.801649	68317	68423	cardnewid_912	1061-1167/1167	.............==	0/0	9.17	91.59	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
