#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_10_length_202975_cov_23.673521	15102	15734	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_10_length_202975_cov_23.673521	195570	196727	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_10_length_202975_cov_23.673521	196752	199865	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_10_length_202975_cov_23.673521	200228	200956	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_10_length_202975_cov_23.673521	201325	202149	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_11_length_176353_cov_21.938228	113884	115350	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.55	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_11_length_176353_cov_21.938228	115347	117398	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_11_length_176353_cov_21.938228	117398	118429	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_11_length_176353_cov_21.938228	147644	149287	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_12_length_166978_cov_18.189142	2902	3234	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_12_length_166978_cov_18.189142	99586	100994	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_13_length_165991_cov_23.202472	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_14_length_132308_cov_24.500473	74066	75439	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_169_length_235_cov_0.936709	27	235	cardnewid_1330	1-209/789	====...........	0/0	26.49	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_17_length_110992_cov_18.045648	80408	81616	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_17_length_110992_cov_18.045648	90245	91471	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_1_length_401433_cov_16.416909	36970	37353	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_1_length_401433_cov_16.416909	75006	75330	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_1_length_401433_cov_16.416909	75322	75680	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_21_length_85708_cov_20.793755	26524	29637	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_21_length_85708_cov_20.793755	60897	60979	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
2ee9b511-24a6-4156-95cb-7022dcb0c4bf_1_contigs.fa	NODE_28_length_29924_cov_25.752203	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
