#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_10_length_219299_cov_64.721123	79110	79640	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_10_length_219299_cov_64.721123	79767	80939	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.55	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_10_length_219299_cov_64.721123	80956	82494	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.81	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_11_length_209466_cov_70.773441	49246	50379	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.71	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_11_length_209466_cov_70.773441	92593	94236	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.33	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_11_length_209466_cov_70.773441	116936	117967	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_11_length_209466_cov_70.773441	117967	120018	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_11_length_209466_cov_70.773441	120015	121481	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_13_length_196018_cov_70.622126	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_13_length_196018_cov_70.622126	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_13_length_196018_cov_70.622126	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_13_length_196018_cov_70.622126	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.74	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
56b58a1f-40b3-4458-9f49-10adbe948a12_1_contigs.fa	NODE_13_length_196018_cov_70.622126	180309	180941	cardnewid_816	1-633/633	===============	0/0	100.00	99.53	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
