#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_10_length_186322_cov_39.404607	58975	59650	cardnewid_2055	1-676/678	===============	0/0	99.71	95.27	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_11_length_136822_cov_37.066562	79996	80354	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_11_length_136822_cov_37.066562	80346	80670	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_13_length_117191_cov_36.745735	167	580	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_17_length_97780_cov_36.755197	21584	22888	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_17_length_97780_cov_36.755197	54409	57522	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_17_length_97780_cov_36.755197	78227	78703	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_19_length_92585_cov_40.522841	76876	77508	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_1_length_360671_cov_41.170591	27735	28265	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_1_length_360671_cov_41.170591	28392	29564	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_1_length_360671_cov_41.170591	29581	31119	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_2_length_351762_cov_40.683168	319317	320549	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_32_length_49967_cov_36.703207	46908	47291	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_33_length_48438_cov_37.028742	8616	9842	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_33_length_48438_cov_37.028742	18473	19681	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_34_length_46250_cov_38.431594	24807	26555	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.80	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_39_length_37361_cov_43.064505	3777	5150	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
c5458181-c4c4-420e-808c-6280257a1fba_1_contigs.fa	NODE_3_length_326760_cov_37.483717	183590	184998	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
