#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_10_length_151558_cov_35.321367	135849	136481	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_11_length_134852_cov_30.065398	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_13_length_121545_cov_35.782066	37698	39341	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_13_length_121545_cov_35.782066	68631	69662	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_13_length_121545_cov_35.782066	69662	71713	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.34	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_13_length_121545_cov_35.782066	71710	73176	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.16	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_1_length_626304_cov_28.559264	174452	174865	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_1_length_626304_cov_28.559264	325722	326930	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.59	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_1_length_626304_cov_28.559264	335561	336787	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.27	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
4f77ab5e-97f2-46d4-b7df-fae527fd0a59_1_contigs.fa	NODE_1_length_626304_cov_28.559264	471981	473729	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.03	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
