#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_10_length_182165_cov_36.971816	21504	22670	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_10_length_182165_cov_36.971816	75766	77013	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_10_length_182165_cov_36.971816	77013	80135	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_10_length_182165_cov_36.971816	80136	83213	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_10_length_182165_cov_36.971816	84626	86029	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_10_length_182165_cov_36.971816	86026	86747	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_11_length_180991_cov_40.395873	130164	131702	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_11_length_180991_cov_40.395873	131719	132891	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_11_length_180991_cov_40.395873	133018	133548	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_13_length_166733_cov_36.929651	65791	67023	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_14_length_166717_cov_37.802922	2077	3720	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_14_length_166717_cov_37.802922	61925	62893	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_15_length_161850_cov_41.823246	53026	53845	cardnewid_1713	1-820/822	===============	0/0	99.76	98.29	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_15_length_161850_cov_41.823246	79528	81015	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.19	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_16_length_159148_cov_43.096089	5435	8539	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_16_length_159148_cov_43.096089	8551	9708	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_16_length_159148_cov_43.096089	10107	10769	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_17_length_155193_cov_43.364211	97914	99281	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_18_length_147256_cov_42.129957	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.80	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_19_length_136579_cov_32.899188	2715	3590	cardnewid_1912	1-876/876	===============	0/0	100.00	100.00	cardformatted	001912	cardformatted~~~cardnewid_1912~~~001912
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_19_length_136579_cov_32.899188	75231	75589	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_19_length_136579_cov_32.899188	75581	75905	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_19_length_136579_cov_32.899188	106470	106853	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_1_length_339391_cov_38.884213	176015	177172	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.06	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_1_length_339391_cov_38.884213	261922	265071	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.76	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_1_length_339391_cov_38.884213	265094	266287	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_20_length_136519_cov_34.779723	28813	29145	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_21_length_116022_cov_33.646177	113589	114002	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
aba7f040-cd81-4ea3-a98a-089ec11f2aee_1_contigs.fa	NODE_24_length_90609_cov_36.091592	42801	44209	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
