#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_13_length_120383_cov_31.977333	74512	74870	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_13_length_120383_cov_31.977333	74862	75186	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_13_length_120383_cov_31.977333	107467	107850	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_14_length_118897_cov_38.199849	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.07	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_14_length_118897_cov_38.199849	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.88	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_14_length_118897_cov_38.199849	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.94	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_15_length_111864_cov_38.465627	18806	20449	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.48	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_15_length_111864_cov_38.465627	61022	62155	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	34598	35764	cardnewid_912	1-1167/1167	========/======	6/12	99.49	83.46	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	89158	90405	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.84	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	90405	93527	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.30	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	93528	96605	cardnewid_1236	1-3078/3078	===============	0/0	100.00	97.53	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	98018	99421	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.07	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	99418	100140	cardnewid_1255	1-723/723	===============	0/0	100.00	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	277358	279001	cardnewid_2133	1-1644/1644	===============	0/0	100.00	99.03	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_1_length_350573_cov_33.846994	333723	334691	cardnewid_1968	1-969/969	===============	0/0	100.00	99.59	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_20_length_73053_cov_34.706575	64416	65091	cardnewid_2055	1-676/678	===============	0/0	99.71	97.34	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_24_length_64562_cov_43.637032	25753	26985	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.19	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_2_length_288908_cov_37.571431	78011	78830	cardnewid_1713	1-820/822	===============	0/0	99.76	99.02	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_2_length_288908_cov_37.571431	95961	97448	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.66	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_37_length_42016_cov_35.854002	20086	23679	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.42	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_37_length_42016_cov_35.854002	23684	24298	cardnewid_954	1-615/615	===============	0/0	100.00	99.67	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_37_length_42016_cov_35.854002	24822	25877	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.05	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_37_length_42016_cov_35.854002	25877	27415	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.05	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
a9370c67-d9fd-414d-b358-9b82a7d82879_1_contigs.fa	NODE_3_length_220048_cov_34.799501	22553	23857	cardnewid_1960	1-1305/1305	===============	0/0	100.00	95.79	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
