#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_10_length_122187_cov_36.102416	106228	106371	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_10_length_122187_cov_36.102416	110563	111240	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_12_length_112212_cov_36.437250	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_13_length_104289_cov_35.078129	74523	75731	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_13_length_104289_cov_35.078129	84360	85586	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_14_length_99032_cov_35.324248	63557	65095	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_14_length_99032_cov_35.324248	65112	66284	cardnewid_1650	1-1173/1173	===============	0/0	100.00	100.00	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_14_length_99032_cov_35.324248	66411	66941	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_17_length_93049_cov_35.094286	44204	45691	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
468fda16-965a-447f-b93a-74986365793d_1_contigs.fa	NODE_17_length_93049_cov_35.094286	68069	68890	cardnewid_1713	1-822/822	===============	0/0	100.00	99.03	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
