#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_104_length_1960_cov_30.718003	910	1770	cardnewid_2060	1-861/861	===============	0/0	100.00	99.88	cardformatted	002060	cardformatted~~~cardnewid_2060~~~002060
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_10_length_156208_cov_17.503404	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_10_length_156208_cov_17.503404	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_10_length_156208_cov_17.503404	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_11_length_147142_cov_15.971509	65062	66470	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_14_length_118234_cov_15.831241	97851	98209	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_14_length_118234_cov_15.831241	98201	98525	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_15_length_116543_cov_16.326241	48462	49694	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_16_length_109639_cov_16.254349	2887	3608	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
5c771cc5-8ec6-4f6c-bca7-da2db6c56801_1_contigs.fa	NODE_16_length_109639_cov_16.254349	3605	5008	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
