#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_10_length_148266_cov_43.126730	16683	17909	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.45	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_10_length_148266_cov_43.126730	26541	27749	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_10_length_148266_cov_43.126730	108596	108928	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_11_length_131283_cov_43.115955	6860	8268	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_11_length_131283_cov_43.115955	79674	80006	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_12_length_129612_cov_46.259289	45360	46032	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_13_length_127415_cov_56.668740	59649	61022	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_14_length_112268_cov_44.205979	107992	109740	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.11	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_15_length_110867_cov_53.985017	441	1265	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_15_length_110867_cov_53.985017	1634	2362	cardnewid_2042	1-729/729	===============	0/0	100.00	100.00	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_15_length_110867_cov_53.985017	2725	5838	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.30	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_15_length_110867_cov_53.985017	5863	7020	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_19_length_91410_cov_57.221552	15002	15634	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_1_length_708439_cov_52.575759	478337	479470	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_1_length_708439_cov_52.575759	562743	564386	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.12	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_1_length_708439_cov_52.575759	593580	594611	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.22	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_1_length_708439_cov_52.575759	594611	596662	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.98	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_1_length_708439_cov_52.575759	596659	598125	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.02	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_20_length_84831_cov_48.682811	24731	24813	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_20_length_84831_cov_48.682811	55973	59086	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_23_length_29819_cov_60.953971	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_24_length_29458_cov_106.010177	8074	8222	cardnewid_458	1592-1740/1935	............==.	0/0	7.70	75.84	cardformatted	000458	cardformatted~~~cardnewid_458~~~000458
0e624267-9f5f-4a03-bb74-621a6fb66934_1_contigs.fa	NODE_2_length_537421_cov_51.637759	298248	299735	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.05	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
