#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_10_length_160700_cov_34.518575	11620	13263	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_10_length_160700_cov_34.518575	42478	43509	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_10_length_160700_cov_34.518575	43509	45560	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_10_length_160700_cov_34.518575	45557	47023	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_13_length_144774_cov_32.499575	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_15_length_136362_cov_30.057013	84205	85743	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_15_length_136362_cov_30.057013	85760	86932	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_15_length_136362_cov_30.057013	87059	87589	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_16_length_132378_cov_35.195743	56850	58223	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_19_length_99902_cov_24.303882	37733	38116	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_19_length_99902_cov_24.303882	75769	76093	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_19_length_99902_cov_24.303882	76085	76443	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_1_length_396921_cov_27.128970	79162	80370	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_1_length_396921_cov_27.128970	88999	90225	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
5a9142e1-e125-4387-8866-eb92a7376793_1_contigs.fa	NODE_1_length_396921_cov_27.128970	214931	216679	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
