#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_11_length_179473_cov_22.334567	127134	128672	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_11_length_179473_cov_22.334567	128689	129861	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_11_length_179473_cov_22.334567	129988	130518	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_12_length_175992_cov_23.568070	26707	28350	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_12_length_175992_cov_23.568070	57565	58596	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_12_length_175992_cov_23.568070	58596	60647	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_12_length_175992_cov_23.568070	60644	62110	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_14_length_173769_cov_21.654549	132344	133016	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_15_length_158091_cov_23.597169	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_16_length_151905_cov_21.943627	68047	69240	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
6811ffce-33be-42ff-886a-dc2272051fb2_1_contigs.fa	NODE_16_length_151905_cov_21.943627	69263	72412	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
