#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_101_length_2058_cov_44.527511	1058	1933	cardnewid_1912	1-876/876	===============	0/0	100.00	100.00	cardformatted	001912	cardformatted~~~cardnewid_1912~~~001912
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_105_length_1883_cov_79.550941	1	82	cardnewid_1952	134-215/786	..===..........	0/0	10.43	98.78	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_105_length_1883_cov_79.550941	83	580	cardnewid_1070	1-498/498	===============	0/0	100.00	100.00	cardformatted	001070	cardformatted~~~cardnewid_1070~~~001070
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_105_length_1883_cov_79.550941	1000	1779	cardnewid_1151	1-780/780	===============	0/0	100.00	99.87	cardformatted	001151	cardformatted~~~cardnewid_1151~~~001151
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_107_length_1774_cov_133.661167	90	926	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_107_length_1774_cov_133.661167	926	1729	cardnewid_1722	1-804/804	===============	0/0	100.00	99.63	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_108_length_1654_cov_75.876347	1	77	cardnewid_1952	139-215/786	..===..........	0/0	9.80	98.70	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_108_length_1654_cov_75.876347	91	564	cardnewid_1073	1-474/474	===============	0/0	100.00	100.00	cardformatted	001073	cardformatted~~~cardnewid_1073~~~001073
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_108_length_1654_cov_75.876347	695	1483	cardnewid_1330	1-789/789	===============	0/0	100.00	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_109_length_1645_cov_36.603954	688	1347	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_110_length_1631_cov_60.935650	146	976	cardnewid_1839	1-831/831	===============	0/0	100.00	100.00	cardformatted	001839	cardformatted~~~cardnewid_1839~~~001839
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_110_length_1631_cov_60.935650	1114	1558	cardnewid_135	1-445/633	===========....	0/0	70.30	99.78	cardformatted	000135	cardformatted~~~cardnewid_135~~~000135
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_11_length_150652_cov_44.372446	42892	44085	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.83	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_11_length_150652_cov_44.372446	44108	47257	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_11_length_150652_cov_44.372446	134264	135421	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_122_length_1185_cov_107.282491	149	1009	cardnewid_1803	1-861/861	===============	0/0	100.00	100.00	cardformatted	001803	cardformatted~~~cardnewid_1803~~~001803
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_127_length_1066_cov_396.737108	1	116	cardnewid_1952	1-116/786	===............	0/0	14.76	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_12_length_131093_cov_40.037118	5413	5826	cardnewid_1170	1-414/414	===============	0/0	100.00	99.03	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_130_length_1000_cov_265.489707	137	976	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_13_length_126922_cov_42.205392	16137	17885	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.03	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_13_length_126922_cov_42.205392	99615	100847	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_140_length_625_cov_176.082117	1	563	cardnewid_935	50-612/612	.==============	0/0	91.99	99.82	cardformatted	000935	cardformatted~~~cardnewid_935~~~000935
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_14_length_120005_cov_39.980947	18661	19887	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.19	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_14_length_120005_cov_39.980947	28518	29726	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.59	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_15_length_118015_cov_38.733546	8825	10233	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_179_length_270_cov_80.015544	1	270	cardnewid_1952	40-300/786	======../......	11/19	32.57	78.55	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_179_length_270_cov_80.015544	1	77	cardnewid_863	425-501/987	......==.......	0/0	7.80	100.00	cardformatted	000863	cardformatted~~~cardnewid_863~~~000863
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_188_length_232_cov_93.690323	1	114	cardnewid_1576	1-114/600	===............	0/0	19.00	100.00	cardformatted	001576	cardformatted~~~cardnewid_1576~~~001576
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	17238	18404	cardnewid_912	1-1167/1167	========/======	6/12	99.49	84.65	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	71050	72297	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	72297	75419	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.95	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	75420	78497	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.12	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	79910	81313	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.57	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	81310	82032	cardnewid_1255	1-723/723	===============	0/0	100.00	99.31	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	221677	223320	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.18	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_1_length_292502_cov_41.651757	276085	277053	cardnewid_1968	1-969/969	===============	0/0	100.00	98.04	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_21_length_98100_cov_43.128184	2886	4118	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.19	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_24_length_88446_cov_44.853286	17661	18794	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_2_length_269021_cov_44.973798	25282	26769	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.39	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_2_length_269021_cov_44.973798	49128	49947	cardnewid_1713	1-820/822	===============	0/0	99.76	98.66	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
1a0ccddc-b2d7-4fb9-ae4b-807f3232408a_1_contigs.fa	NODE_2_length_269021_cov_44.973798	257971	258633	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
