#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_12_length_149762_cov_47.046718	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_13_length_130884_cov_49.328859	74354	75727	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.33	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_14_length_128692_cov_41.341018	48773	49303	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_14_length_128692_cov_41.341018	49430	50602	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_14_length_128692_cov_41.341018	50619	52157	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.79	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_15_length_128170_cov_47.361441	27582	29225	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.73	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_15_length_128170_cov_47.361441	58448	59479	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.93	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_15_length_128170_cov_47.361441	59479	61530	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.88	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_15_length_128170_cov_47.361441	61527	62993	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
319e4341-1112-4a78-9cc6-210402b0f415_1_contigs.fa	NODE_16_length_123162_cov_41.028192	24730	24812	cardnewid_1960	1-83/1305	=..............	0/0	6.36	96.39	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
