#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_11_length_134792_cov_50.244182	126278	126950	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_12_length_117405_cov_53.067324	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_12_length_117405_cov_53.067324	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_12_length_117405_cov_53.067324	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_12_length_117405_cov_53.067324	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.74	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_17_length_75319_cov_49.522833	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_18_length_72000_cov_50.893539	42175	43383	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.68	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_18_length_72000_cov_50.893539	52014	53240	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.35	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_19_length_69038_cov_53.176535	3688	5061	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_1_length_596973_cov_50.544415	113475	113951	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
f119aed0-c519-4442-bde0-d3019e424f42_1_contigs.fa	NODE_1_length_596973_cov_50.544415	135185	138298	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
