#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_10_length_122242_cov_38.686580	273	1916	cardnewid_609	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_10_length_122242_cov_38.686580	31691	32722	cardnewid_1350	1-1032/1032	===============	0/0	100.00	99.90	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_10_length_122242_cov_38.686580	32722	34773	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_10_length_122242_cov_38.686580	34770	36236	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_11_length_119775_cov_35.786229	114332	115819	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.12	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_13_length_113318_cov_33.233811	92777	94525	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_14_length_109636_cov_32.572796	34426	34839	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_15_length_105083_cov_35.310335	26693	27997	cardnewid_1960	1-1305/1305	===============	0/0	100.00	100.00	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_15_length_105083_cov_35.310335	59324	62437	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.97	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
1b4d6ec6-5f28-4843-902a-999a6cbab877_1_contigs.fa	NODE_15_length_105083_cov_35.310335	83123	83599	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
