#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_11_length_143598_cov_45.968938	87990	89456	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_11_length_143598_cov_45.968938	89453	91504	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.73	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_11_length_143598_cov_45.968938	91504	92535	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.16	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_11_length_143598_cov_45.968938	115255	116898	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_12_length_140095_cov_47.180884	70889	71708	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_12_length_140095_cov_47.180884	94067	95554	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_13_length_138480_cov_48.216440	95033	95446	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_14_length_135428_cov_46.423011	7987	8659	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_17_length_116408_cov_53.044391	77468	79006	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.83	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_17_length_116408_cov_53.044391	79006	80061	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_17_length_116408_cov_53.044391	80585	81199	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_17_length_116408_cov_53.044391	81204	84797	cardnewid_1238	1-3594/3594	===============	0/0	100.00	98.89	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_18_length_111420_cov_46.979487	100918	101580	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_18_length_111420_cov_46.979487	101979	103136	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_18_length_111420_cov_46.979487	103148	106251	cardnewid_1346	1-3105/3105	========/======	1/1	99.97	99.00	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	71494	72462	cardnewid_1968	1-969/969	===============	0/0	100.00	99.38	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	119501	121144	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.48	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	259231	259953	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	259950	261353	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	262766	265843	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.84	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	265844	268966	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.04	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
753541d4-1859-430f-b9ce-2d3b21fc5dae_1_contigs.fa	NODE_1_length_312000_cov_46.454676	268966	270213	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
