#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_10_length_127065_cov_41.073999	39325	40046	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_10_length_127065_cov_41.073999	40043	41446	cardnewid_929	1-1404/1404	===============	0/0	100.00	97.65	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_10_length_127065_cov_41.073999	42859	45936	cardnewid_1236	1-3078/3078	===============	0/0	100.00	97.11	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_10_length_127065_cov_41.073999	45937	49059	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.73	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_10_length_127065_cov_41.073999	49059	50306	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.88	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_10_length_127065_cov_41.073999	105286	106452	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.92	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_11_length_126208_cov_44.115998	85132	86880	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.68	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_12_length_119764_cov_45.678194	66585	68228	cardnewid_609	1-1644/1644	===============	0/0	100.00	97.75	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_12_length_119764_cov_45.678194	90846	91877	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.41	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_12_length_119764_cov_45.678194	91877	93928	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.37	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
c2b54e3e-e1f1-49cd-880c-f9bc1301b2b3_1_contigs.fa	NODE_12_length_119764_cov_45.678194	93925	95391	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.66	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
