#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_10_length_190962_cov_40.729036	15002	15634	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_10_length_190962_cov_40.729036	183943	185100	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_10_length_190962_cov_40.729036	185125	188238	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.30	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_10_length_190962_cov_40.729036	188601	189329	cardnewid_2042	1-729/729	===============	0/0	100.00	100.00	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_10_length_190962_cov_40.729036	189698	190522	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_13_length_158913_cov_40.009230	148380	149042	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_13_length_158913_cov_40.009230	149441	150598	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_13_length_158913_cov_40.009230	150610	153714	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_14_length_158165_cov_36.810163	99701	100933	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_16_length_136519_cov_35.705303	107375	107707	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
79b290f6-8cdc-45d3-9ae1-b6b30d29135c_1_contigs.fa	NODE_17_length_129306_cov_35.434067	123816	124174	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
