#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_25_length_40122_cov_56.711699	530	1186	resfindernewid_2750	1-657/657	===============	0/0	100.00	100.00	resfinderformatted	002750	resfinderformatted~~~resfindernewid_2750~~~002750
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_26_length_36740_cov_31.594387	17456	17811	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_2_length_574173_cov_31.136561	264447	265679	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.54	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_31_length_24255_cov_77.590661	21953	23199	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_43_length_4538_cov_78.585519	1938	2753	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_43_length_4538_cov_78.585519	2814	3617	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_43_length_4538_cov_78.585519	3617	4453	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_4_length_342257_cov_31.461362	301653	302452	resfindernewid_159	170-972/972	..======/======	1/3	82.30	99.25	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_52_length_2251_cov_61.671573	1241	2101	resfindernewid_2173	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	002173	resfinderformatted~~~resfindernewid_2173~~~002173
3f987d46-7e69-4248-9a5a-1c9386a2a235_1_contigs.fa	NODE_56_length_1560_cov_83.016494	178	1038	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
