#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_17_length_134646_cov_48.949171	111130	111485	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_39_length_28868_cov_81.677226	27508	28368	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_43_length_10305_cov_81.258621	1711	2502	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_43_length_10305_cov_81.258621	4184	4985	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_43_length_10305_cov_81.258621	5068	6327	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_43_length_10305_cov_81.258621	6589	7390	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_43_length_10305_cov_81.258621	7788	8285	resfindernewid_3039	1-498/498	===============	0/0	100.00	100.00	resfinderformatted	003039	resfinderformatted~~~resfindernewid_3039~~~003039
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_43_length_10305_cov_81.258621	8282	8457	resfindernewid_159	1-184/972	===...../......	4/8	18.11	94.57	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
4118afbd-8169-4d14-a96a-f7d19b27efb3_1_contigs.fa	NODE_6_length_211377_cov_44.874411	110058	111290	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	97.89	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
