#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_10_length_180165_cov_30.863317	113876	115342	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_10_length_180165_cov_30.863317	115339	117390	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_10_length_180165_cov_30.863317	117390	118421	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_10_length_180165_cov_30.863317	147636	149279	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_12_length_167607_cov_23.713962	60332	61740	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_12_length_167607_cov_23.713962	135605	135937	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_13_length_157367_cov_29.634675	141304	142437	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_15_length_149884_cov_22.884498	13763	14146	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_15_length_149884_cov_22.884498	51742	52066	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_15_length_149884_cov_22.884498	52058	52416	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_17_length_118976_cov_25.195956	18460	19626	cardnewid_912	1-1167/1167	===============	0/0	100.00	99.40	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_17_length_118976_cov_25.195956	76921	78168	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.15	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_17_length_118976_cov_25.195956	78168	81290	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.34	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_17_length_118976_cov_25.195956	81291	84368	cardnewid_1236	1-3078/3078	===============	0/0	100.00	95.45	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
bd9ea8fa-5505-4c96-a594-7e1d6dd6710a_1_contigs.fa	NODE_17_length_118976_cov_25.195956	85781	87184	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.67	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
