#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_10_length_142826_cov_56.778331	15917	17665	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.97	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_11_length_135002_cov_56.273596	7926	8598	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_12_length_129712_cov_62.057747	53665	54897	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.19	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_14_length_103137_cov_57.086163	26204	27436	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.51	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_16_length_97638_cov_58.964863	36254	37741	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.32	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_16_length_97638_cov_58.964863	60099	60918	cardnewid_1713	1-820/822	===============	0/0	99.76	98.90	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_18_length_90451_cov_55.560559	60882	62090	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.51	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_18_length_90451_cov_55.560559	70721	71947	cardnewid_562	1-1227/1227	===============	0/0	100.00	100.00	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	144710	146353	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.91	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	193335	194303	cardnewid_1968	1-969/969	===============	0/0	100.00	99.69	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	295507	297045	cardnewid_501	1-1539/1539	===============	0/0	100.00	98.96	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	297045	298100	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.81	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	298624	299238	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	299243	302836	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.42	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	356466	357770	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.16	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	388868	391981	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.88	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_1_length_527232_cov_56.625558	413267	413743	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_20_length_74891_cov_59.459767	69108	70241	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_22_length_72806_cov_56.640157	51610	51993	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_23_length_68810_cov_60.489299	3391	4764	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_24_length_62683_cov_57.760374	31238	31768	cardnewid_1248	1-531/531	===============	0/0	100.00	99.62	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
d6224c78-0cfa-4699-b043-bed4bf05e20c_1_contigs.fa	NODE_24_length_62683_cov_57.760374	31895	33067	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.55	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
