#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_122_length_2453_cov_31.353535	472	1296	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_122_length_2453_cov_31.353535	1664	2379	cardnewid_2042	1-716/729	===============	0/0	98.22	94.55	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_12_length_125719_cov_25.198254	61493	62866	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_13_length_123816_cov_23.815167	15244	16377	cardnewid_2338	1-1134/1134	===============	0/0	100.00	100.00	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_14_length_121546_cov_20.219068	10621	11298	cardnewid_2055	1-678/678	===============	0/0	100.00	99.85	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_14_length_121546_cov_20.219068	15260	15403	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_15_length_115664_cov_23.869717	86009	87475	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_15_length_115664_cov_23.869717	87472	89523	cardnewid_1932	1-2052/2052	===============	0/0	100.00	100.00	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_15_length_115664_cov_23.869717	89523	90554	cardnewid_1350	1-1032/1032	===============	0/0	100.00	99.90	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
347e53d9-86d2-43d1-8982-0f89d7f31591_1_contigs.fa	NODE_16_length_115403_cov_17.990549	17988	19736	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
