#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_10_length_181094_cov_25.257976	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_11_length_177605_cov_24.189249	112614	114080	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_11_length_177605_cov_24.189249	114077	116128	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_11_length_177605_cov_24.189249	116128	117159	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_11_length_177605_cov_24.189249	146375	148018	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_12_length_173719_cov_20.952742	132421	133093	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_13_length_171047_cov_21.880277	10128	11285	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_13_length_171047_cov_21.880277	96155	99304	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.75	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_13_length_171047_cov_21.880277	99327	100520	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
60db4db5-61a3-49ba-b49e-25592c3d9707_1_contigs.fa	NODE_15_length_132241_cov_21.522729	41993	42406	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
