#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_10_length_176342_cov_43.161756	134452	135990	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_10_length_176342_cov_43.161756	136007	137179	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_10_length_176342_cov_43.161756	137306	137836	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_11_length_175292_cov_45.862626	81899	82312	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_12_length_148537_cov_40.296497	132903	133535	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_13_length_135710_cov_43.020931	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_14_length_126415_cov_44.458532	21869	22193	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_14_length_126415_cov_44.458532	22185	22543	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.56	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_15_length_121315_cov_41.633539	20615	20947	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_16_length_90103_cov_43.099693	19017	20243	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.27	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_16_length_90103_cov_43.099693	28874	30082	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.51	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_19_length_86408_cov_48.391273	62465	63838	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_1_length_372689_cov_48.136179	6011	9115	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.10	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_1_length_372689_cov_48.136179	9127	10284	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_1_length_372689_cov_48.136179	10683	11345	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_1_length_372689_cov_48.136179	220039	220860	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_1_length_372689_cov_48.136179	243236	244723	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_20_length_82704_cov_41.121389	33283	34691	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_21_length_70422_cov_52.727614	51604	51987	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_2_length_359659_cov_44.497539	120464	121657	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_2_length_359659_cov_44.497539	121680	124829	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_2_length_359659_cov_44.497539	209692	210849	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.40	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_30_length_44784_cov_54.451697	31697	35290	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.47	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_30_length_44784_cov_54.451697	35295	35909	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_30_length_44784_cov_54.451697	36433	37488	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_30_length_44784_cov_54.451697	37488	39026	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.68	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_35_length_40004_cov_55.155033	32973	34130	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.74	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_35_length_40004_cov_55.155033	34155	37268	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.43	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_35_length_40004_cov_55.155033	37631	38359	cardnewid_2042	1-729/729	===============	0/0	100.00	94.24	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_35_length_40004_cov_55.155033	38727	39551	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_37_length_38347_cov_42.442906	25250	25972	cardnewid_1255	1-723/723	===============	0/0	100.00	99.45	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_37_length_38347_cov_42.442906	25969	27372	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.08	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_37_length_38347_cov_42.442906	28785	31862	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.54	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_37_length_38347_cov_42.442906	31863	34985	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.71	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_37_length_38347_cov_42.442906	34985	36232	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.08	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_3_length_317199_cov_41.471345	120973	122721	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.31	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
3ce81188-aecd-40ac-af83-6c68fd9ece14_1_contigs.fa	NODE_3_length_317199_cov_41.471345	238014	239246	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.24	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
