#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_11_length_155581_cov_57.543163	110965	112608	cardnewid_2133	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_12_length_147594_cov_59.541287	131960	132592	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_13_length_146709_cov_59.828018	37551	38744	cardnewid_2244	1-1194/1194	===============	0/0	100.00	100.00	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_13_length_146709_cov_59.828018	38767	41916	cardnewid_1033	1-3150/3150	===============	0/0	100.00	100.00	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_13_length_146709_cov_59.828018	136739	137896	cardnewid_2001	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_14_length_119493_cov_57.824044	106336	106479	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_14_length_119493_cov_57.824044	110671	111348	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_17_length_107785_cov_58.775690	80041	81249	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_17_length_107785_cov_58.775690	89878	91104	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_18_length_105284_cov_61.645537	41099	42472	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_19_length_92481_cov_58.742392	25637	26167	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_19_length_92481_cov_58.742392	26294	27466	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_19_length_92481_cov_58.742392	27483	29021	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.94	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	15640	16608	cardnewid_1968	1-969/969	===============	0/0	100.00	100.00	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	118820	120358	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.94	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	120358	121413	cardnewid_568	1-1056/1056	===============	0/0	100.00	100.00	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	121937	122551	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	122556	126149	cardnewid_1238	1-3594/3594	===============	0/0	100.00	100.00	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	184934	186238	cardnewid_1960	1-1305/1305	===============	0/0	100.00	99.92	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	217637	220750	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.94	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_1_length_356092_cov_57.732542	241436	241912	cardnewid_1625	1-477/477	===============	0/0	100.00	98.11	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_23_length_62072_cov_57.226018	35107	35829	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_23_length_62072_cov_57.226018	35826	37229	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_23_length_62072_cov_57.226018	38642	41719	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.41	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_23_length_62072_cov_57.226018	41720	44842	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.75	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_23_length_62072_cov_57.226018	44842	46089	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.76	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_26_length_57281_cov_62.281729	5359	8463	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.94	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_26_length_57281_cov_62.281729	8475	9632	cardnewid_1353	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_26_length_57281_cov_62.281729	10031	10693	cardnewid_486	1-663/663	===============	0/0	100.00	100.00	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_27_length_55368_cov_57.452840	27661	28044	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_2_length_284230_cov_61.377279	86460	87926	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_2_length_284230_cov_61.377279	87923	89974	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_2_length_284230_cov_61.377279	89974	91005	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_2_length_284230_cov_61.377279	120643	122286	cardnewid_609	1-1644/1644	===============	0/0	100.00	100.00	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_2_length_284230_cov_61.377279	164503	165636	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.44	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_35_length_42298_cov_67.491438	35249	36406	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.91	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_35_length_42298_cov_67.491438	36431	39544	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.97	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_35_length_42298_cov_67.491438	39907	40635	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_35_length_42298_cov_67.491438	41003	41827	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_3_length_248631_cov_61.309909	7925	9412	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
ca9cfec3-9d97-4857-985a-3f39b8452e49_1_contigs.fa	NODE_40_length_32940_cov_56.314700	20731	21063	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
