#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_10_length_186389_cov_32.248116	127227	130340	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_10_length_186389_cov_32.248116	161574	161656	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_12_length_180696_cov_35.099475	47147	47677	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_12_length_180696_cov_35.099475	47804	48976	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_12_length_180696_cov_35.099475	48993	50531	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_14_length_159981_cov_38.405393	79128	80615	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.19	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_14_length_159981_cov_38.405393	106298	107117	cardnewid_1713	1-820/822	===============	0/0	99.76	98.29	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_15_length_158913_cov_38.789443	148380	149042	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_15_length_158913_cov_38.789443	149441	150598	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_15_length_158913_cov_38.789443	150610	153714	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.62	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_16_length_134196_cov_31.238706	26489	26821	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_17_length_133509_cov_30.224039	64098	65330	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_18_length_123751_cov_40.651333	66472	67839	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	21504	22670	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	75766	77013	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	77013	80135	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.16	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	80136	83213	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	84626	86029	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	86026	86747	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	226353	227996	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.38	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	286201	287169	cardnewid_1968	1-969/969	===============	0/0	100.00	97.63	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	394164	395702	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.60	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	395702	396757	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	397281	397895	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_1_length_433398_cov_32.001740	397900	401493	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.33	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_20_length_95974_cov_28.960510	39446	39859	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_21_length_68264_cov_28.529426	24056	25464	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_2_length_339473_cov_34.077396	176014	177171	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.06	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_2_length_339473_cov_34.077396	261921	265070	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.76	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_2_length_339473_cov_34.077396	265093	266286	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_31_length_29819_cov_37.977103	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_3_length_336179_cov_39.416400	112692	114158	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_3_length_336179_cov_39.416400	114155	116206	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_3_length_336179_cov_39.416400	116206	117237	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.22	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
970e3b61-3817-4d63-80e0-b0e6f0394132_1_contigs.fa	NODE_3_length_336179_cov_39.416400	146461	148104	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.42	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
