#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	1863	2723	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	8085	8741	resfindernewid_2750	1-657/657	===============	0/0	100.00	100.00	resfinderformatted	002750	resfinderformatted~~~resfindernewid_2750~~~002750
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	11406	11668	resfindernewid_2463	968-1230/1230	...........====	0/0	21.38	99.62	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	13429	14220	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	15912	16713	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.88	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	16796	18055	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	18317	19118	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	19516	20013	resfindernewid_3039	1-498/498	===============	0/0	100.00	100.00	resfinderformatted	003039	resfinderformatted~~~resfindernewid_3039~~~003039
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_54_length_26670_cov_96.507991	20010	20185	resfindernewid_159	1-184/972	===...../......	4/8	18.11	94.57	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_66_length_15551_cov_40.695037	9640	10872	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.86	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
56602d00-e08c-4f23-af68-6883021c3151_1_contigs.fa	NODE_8_length_145588_cov_40.707802	20665	21020	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
