#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_10_length_163041_cov_52.270428	146978	148111	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_11_length_151436_cov_46.878217	40943	41615	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_12_length_125501_cov_45.753939	58093	59501	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_16_length_111490_cov_51.754661	95892	96524	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_17_length_107668_cov_49.164233	80341	81573	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.05	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_19_length_102691_cov_44.217641	1988	2401	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_1_length_430692_cov_43.495900	38433	38765	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_1_length_430692_cov_43.495900	409038	409396	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_1_length_430692_cov_43.495900	409388	409712	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_20_length_97239_cov_51.857496	74156	75529	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_21_length_92287_cov_42.973170	37966	38349	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_22_length_91509_cov_51.099571	84104	85261	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_22_length_91509_cov_51.099571	85286	88399	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_22_length_91509_cov_51.099571	88762	89490	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_22_length_91509_cov_51.099571	89859	90683	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_23_length_90454_cov_51.070361	25876	27342	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_23_length_90454_cov_51.070361	27339	29388	cardnewid_1932	1-2052/2052	========/======	1/2	99.90	96.98	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_23_length_90454_cov_51.070361	29388	30419	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.64	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_23_length_90454_cov_51.070361	59634	61277	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_25_length_72716_cov_82.929143	50261	51228	cardnewid_2295	1-972/972	========/======	2/4	99.59	99.59	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_25_length_72716_cov_82.929143	51733	52572	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_25_length_72716_cov_82.929143	58315	59175	cardnewid_719	1-861/861	===============	0/0	100.00	99.88	cardformatted	000719	cardformatted~~~cardnewid_719~~~000719
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_2_length_377821_cov_45.785320	59970	61178	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_2_length_377821_cov_45.785320	69808	71034	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_2_length_377821_cov_45.785320	195831	197579	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_2_length_377821_cov_45.785320	275877	277109	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_37_length_29924_cov_53.015948	21848	22200	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_3_length_347865_cov_45.792046	30535	31782	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.11	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_3_length_347865_cov_45.792046	31782	34904	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.25	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_3_length_347865_cov_45.792046	34905	37982	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.15	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_3_length_347865_cov_45.792046	39395	40798	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_3_length_347865_cov_45.792046	40795	41516	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
7ed5355e-584e-4089-ab92-56ccd0f472d8_1_contigs.fa	NODE_3_length_347865_cov_45.792046	193908	195551	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
