#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_10_length_160035_cov_35.179835	102035	103408	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_11_length_147451_cov_34.104767	82637	84103	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.27	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_11_length_147451_cov_34.104767	84100	86151	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.12	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_11_length_147451_cov_34.104767	86151	87182	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.61	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_11_length_147451_cov_34.104767	116395	118038	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.79	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_14_length_139242_cov_31.189185	58682	59095	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_18_length_76898_cov_30.080577	60011	60394	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_1_length_492705_cov_33.207400	23219	24038	cardnewid_1713	1-820/822	===============	0/0	99.76	97.20	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_1_length_492705_cov_33.207400	44482	45969	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.32	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_1_length_492705_cov_33.207400	466925	468463	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.31	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_1_length_492705_cov_33.207400	468480	469652	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_1_length_492705_cov_33.207400	469779	470309	cardnewid_1248	1-531/531	===============	0/0	100.00	99.81	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_22_length_67653_cov_34.908074	51945	52577	cardnewid_816	1-633/633	===============	0/0	100.00	99.68	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_28_length_49249_cov_30.454283	9391	10617	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.10	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_28_length_49249_cov_30.454283	19248	20456	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_2_length_422090_cov_33.492110	219598	220830	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.51	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_2_length_422090_cov_33.492110	378307	379440	cardnewid_2338	1-1134/1134	===============	0/0	100.00	96.74	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_39_length_34071_cov_69.114138	2431	2640	cardnewid_1952	1-210/786	=====..........	0/0	26.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_39_length_34071_cov_69.114138	2658	3131	cardnewid_1874	1-474/474	===============	0/0	100.00	100.00	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_39_length_34071_cov_69.114138	3214	4015	cardnewid_2295	171-972/972	..=============	0/0	82.51	99.75	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_39_length_34071_cov_69.114138	7959	9205	cardnewid_1828	1-1247/1275	===============	0/0	97.80	99.92	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_39_length_34071_cov_69.114138	13682	14485	cardnewid_1722	1-804/804	===============	0/0	100.00	99.88	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_39_length_34071_cov_69.114138	14485	15321	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	16236	17879	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.75	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	74340	75308	cardnewid_1968	1-969/969	===============	0/0	100.00	98.25	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	173915	175453	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.21	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	175453	176508	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	177032	177646	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	177651	181244	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.44	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	239056	240360	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.09	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_3_length_408232_cov_32.045735	271544	274657	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.46	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_40_length_30211_cov_36.258612	7846	8198	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_45_length_15255_cov_31.202925	1289	1431	cardnewid_2055	535-678/678	......../...===	1/1	21.09	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_45_length_15255_cov_31.202925	5623	6300	cardnewid_2055	1-678/678	===============	0/0	100.00	95.43	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_4_length_376191_cov_30.597258	137892	139300	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_4_length_376191_cov_30.597258	181496	182662	cardnewid_912	1-1167/1167	========/======	6/12	99.49	83.80	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_4_length_376191_cov_30.597258	238091	239338	cardnewid_360	1-1248/1248	===============	0/0	100.00	97.20	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_4_length_376191_cov_30.597258	239338	242460	cardnewid_772	1-3123/3123	===============	0/0	100.00	97.05	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
cc122d92-bfcf-4038-aa05-2a05b4d00d9c_1_contigs.fa	NODE_4_length_376191_cov_30.597258	242461	245538	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.52	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
