#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_11_length_159848_cov_23.046423	57789	58319	cardnewid_1248	1-531/531	===============	0/0	100.00	99.25	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_11_length_159848_cov_23.046423	58446	59618	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.78	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_11_length_159848_cov_23.046423	59635	61173	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.31	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_12_length_141890_cov_27.465437	70010	71383	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_15_length_136218_cov_21.269199	32498	33730	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.76	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_16_length_105843_cov_22.978708	50684	51877	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.91	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_16_length_105843_cov_22.978708	51900	55049	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.11	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_1_length_617296_cov_25.100943	105916	107148	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.92	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_1_length_617296_cov_25.100943	577612	578769	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.41	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
2cf381d9-dc0a-4191-8e2f-15dbd10a7d2e_1_contigs.fa	NODE_21_length_71275_cov_20.776033	49841	51088	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.59	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
