#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_10_length_142824_cov_44.358403	14817	16225	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_11_length_136649_cov_44.978048	44539	46026	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_11_length_136649_cov_44.978048	68385	69204	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_13_length_134451_cov_44.382388	125835	126507	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_14_length_112732_cov_45.464808	37981	38394	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_16_length_111451_cov_44.898944	100918	101580	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_16_length_111451_cov_44.898944	101979	103136	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_16_length_111451_cov_44.898944	103148	106252	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_18_length_108400_cov_45.371952	53026	54258	cardnewid_1119	1-1233/1233	===============	0/0	100.00	100.00	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_19_length_103246_cov_45.305538	85362	87110	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.26	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_1_length_288133_cov_45.031365	51661	52044	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_1_length_288133_cov_45.031365	90720	91044	cardnewid_2598	6-330/330	===============	0/0	98.48	75.08	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_1_length_288133_cov_45.031365	91036	91394	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
5f14941c-3e90-4c4e-b455-7a4431019d74_1_contigs.fa	NODE_20_length_102861_cov_45.210295	73503	74711	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
