#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_10_length_214184_cov_35.755618	66625	68033	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_10_length_214184_cov_35.755618	142012	142344	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_11_length_197122_cov_41.710153	59931	60461	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_11_length_197122_cov_41.710153	60588	61760	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_11_length_197122_cov_41.710153	61777	63315	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_12_length_196483_cov_44.956295	443	1267	cardnewid_80	1-825/825	===============	0/0	100.00	93.58	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_12_length_196483_cov_44.956295	1636	2364	cardnewid_2042	1-729/729	===============	0/0	100.00	99.73	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_12_length_196483_cov_44.956295	2727	5840	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_12_length_196483_cov_44.956295	5865	7022	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_12_length_196483_cov_44.956295	180849	181481	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_15_length_150510_cov_39.710489	8475	9147	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_16_length_133127_cov_46.134235	74103	75476	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
99c570f9-14b4-4f25-8dad-7eec2cadc22d_1_contigs.fa	NODE_18_length_81648_cov_40.490444	17238	20387	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.73	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
