#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_10_length_143021_cov_47.083354	3145	4392	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_10_length_143021_cov_47.083354	4392	7514	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.74	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_10_length_143021_cov_47.083354	7515	10592	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.21	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_10_length_143021_cov_47.083354	12005	13408	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.08	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_10_length_143021_cov_47.083354	13405	14127	cardnewid_1255	1-723/723	===============	0/0	100.00	99.45	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_11_length_142824_cov_45.796325	14817	16225	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_12_length_136649_cov_46.538441	67446	68265	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_12_length_136649_cov_46.538441	90624	92111	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_14_length_134451_cov_45.939624	7945	8617	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
5c6b6f2e-6256-4ec9-8f89-e1e65c6437dc_1_contigs.fa	NODE_15_length_112907_cov_47.964158	37981	38394	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
