#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_10_length_188741_cov_30.366742	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_10_length_188741_cov_30.366742	1645	2373	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_10_length_188741_cov_30.366742	2736	5849	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_10_length_188741_cov_30.366742	5874	7031	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_10_length_188741_cov_30.366742	173107	173739	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_11_length_175538_cov_30.553394	164837	165499	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_11_length_175538_cov_30.553394	165898	167055	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_11_length_175538_cov_30.553394	167067	170170	cardnewid_1346	1-3105/3105	========/======	1/1	99.97	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_12_length_167986_cov_28.499777	3458	4615	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.40	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_12_length_167986_cov_28.499777	89478	92627	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_12_length_167986_cov_28.499777	92650	93843	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
3aa8972e-1627-4e6d-a2a0-c025eae5a6f7_1_contigs.fa	NODE_13_length_162732_cov_29.442255	24726	25256	cardnewid_1248	1-531/531	===============	0/0	100.00	99.81	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
