#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_103_length_2149_cov_36.599421	165	578	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_105_length_2067_cov_700.039698	611	1471	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_11_length_122717_cov_35.049291	106355	107587	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_12_length_119305_cov_36.994750	27732	28262	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_12_length_119305_cov_36.994750	28389	29561	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_12_length_119305_cov_36.994750	29578	31116	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_13_length_110933_cov_39.241836	103911	105068	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_13_length_110933_cov_39.241836	105093	108206	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.23	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_13_length_110933_cov_39.241836	108569	109297	cardnewid_2042	1-729/729	===============	0/0	100.00	95.75	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_13_length_110933_cov_39.241836	109666	110490	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_15_length_106939_cov_40.465048	39944	41317	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_17_length_102858_cov_34.591442	46033	47676	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.26	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_190_length_155_cov_336.692308	1	155	cardnewid_1952	17-171/786	====...........	0/0	19.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_19_length_98806_cov_37.400683	88210	89367	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.63	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
876020db-7fb5-4d16-a10a-9869b66e6fac_1_contigs.fa	NODE_1_length_409621_cov_33.423837	56820	57541	cardnewid_1255	1-722/723	===============	0/0	99.86	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
