#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_11_length_175520_cov_43.289883	113982	115448	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_11_length_175520_cov_43.289883	115445	117496	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_11_length_175520_cov_43.289883	117496	118527	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_11_length_175520_cov_43.289883	147742	149385	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_12_length_173669_cov_37.317019	132244	132916	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_13_length_166666_cov_37.857133	8390	9547	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_13_length_166666_cov_37.857133	94408	97557	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.60	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_13_length_166666_cov_37.857133	97580	98773	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_14_length_145501_cov_41.930005	129438	130571	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_15_length_139723_cov_39.067034	9206	9736	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_15_length_139723_cov_39.067034	9863	11035	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_15_length_139723_cov_39.067034	11052	12590	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_16_length_132697_cov_44.324506	56870	58243	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_18_length_113770_cov_34.864926	51372	52780	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_1_length_450754_cov_34.789248	37966	38349	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_1_length_450754_cov_34.789248	75908	76232	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_1_length_450754_cov_34.789248	76224	76582	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
e120470d-cf7a-49e5-896a-1e4d9072d67d_1_contigs.fa	NODE_1_length_450754_cov_34.789248	405270	405602	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
