#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_10_length_179255_cov_39.166170	163192	164325	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.62	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_11_length_177690_cov_39.576647	29588	31231	cardnewid_609	1-1644/1644	===============	0/0	100.00	93.31	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_11_length_177690_cov_39.576647	60447	61478	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.96	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_11_length_177690_cov_39.576647	61478	63529	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.56	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_11_length_177690_cov_39.576647	63526	64992	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.82	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_12_length_174002_cov_35.931102	132598	133270	cardnewid_2055	1-673/678	===============	0/0	99.26	95.99	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_13_length_171047_cov_36.641499	70528	71721	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_13_length_171047_cov_36.641499	71744	74893	cardnewid_1033	1-3150/3150	===============	0/0	100.00	97.75	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_13_length_171047_cov_36.641499	159763	160920	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_14_length_163652_cov_37.482794	130277	131815	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.86	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_14_length_163652_cov_37.482794	131832	133004	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.87	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_14_length_163652_cov_37.482794	133131	133661	cardnewid_1248	1-531/531	===============	0/0	100.00	98.87	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_16_length_131849_cov_34.316145	89721	90134	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
e5100306-af93-470d-951e-09764db62cad_1_contigs.fa	NODE_17_length_129192_cov_39.988057	74154	75527	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.18	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
