#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_10_length_172649_cov_62.435754	62428	63585	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.72	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_10_length_172649_cov_62.435754	152422	155571	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.98	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_10_length_172649_cov_62.435754	155594	156787	cardnewid_2244	1-1194/1194	===============	0/0	100.00	98.99	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_11_length_150843_cov_55.851843	96845	98071	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.29	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_11_length_150843_cov_55.851843	106701	107909	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_13_length_135271_cov_68.408428	8499	10142	cardnewid_609	1-1644/1644	===============	0/0	100.00	97.63	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_13_length_135271_cov_68.408428	39661	40692	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.67	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_13_length_135271_cov_68.408428	40692	42743	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.35	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_13_length_135271_cov_68.408428	42740	44206	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.96	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_15_length_128440_cov_67.633329	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_18_length_118136_cov_61.008852	96082	96414	cardnewid_2240	1-333/333	===============	0/0	100.00	99.10	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_1_length_584989_cov_66.445711	9909	9991	cardnewid_1960	1-83/1305	=..............	0/0	6.36	98.80	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_1_length_584989_cov_66.445711	41350	44463	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_1_length_584989_cov_66.445711	65171	65645	cardnewid_1625	3-477/477	===============	0/0	99.58	95.58	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_1_length_584989_cov_66.445711	550983	552215	cardnewid_1119	1-1233/1233	===============	0/0	100.00	97.08	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_20_length_110177_cov_58.790427	47152	48384	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
7ad5094d-1558-4a52-85bc-ac9cf3319e41_1_contigs.fa	NODE_21_length_105604_cov_68.278858	40369	41742	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
