#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_11_length_143063_cov_56.307904	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_12_length_140599_cov_59.330582	135830	136963	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.44	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_13_length_125116_cov_57.676237	24151	25689	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.61	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_13_length_125116_cov_57.676237	25689	26744	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_13_length_125116_cov_57.676237	27268	27882	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_13_length_125116_cov_57.676237	27887	31480	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.47	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_13_length_125116_cov_57.676237	89051	90355	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.62	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_13_length_125116_cov_57.676237	121473	124586	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.07	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_14_length_120817_cov_56.457015	35929	36459	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
464aa6bd-8717-469c-984f-807c71e31688_1_contigs.fa	NODE_14_length_120817_cov_56.457015	36586	37758	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
