#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_10_length_172898_cov_31.745876	42892	43305	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_11_length_163249_cov_35.589697	17499	18632	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.80	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_12_length_159865_cov_33.021372	140495	142033	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_12_length_159865_cov_33.021372	142050	143222	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_12_length_159865_cov_33.021372	143349	143879	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_14_length_156782_cov_31.546013	95483	95841	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_14_length_156782_cov_31.546013	95833	96157	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_14_length_156782_cov_31.546013	126722	127105	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_15_length_155729_cov_31.549546	71281	72002	cardnewid_1255	1-722/723	===============	0/0	99.86	97.09	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_15_length_155729_cov_31.549546	71999	73402	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.60	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_15_length_155729_cov_31.549546	74815	77892	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.99	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_15_length_155729_cov_31.549546	77893	81015	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.13	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_15_length_155729_cov_31.549546	81015	82262	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_15_length_155729_cov_31.549546	135934	137100	cardnewid_912	1-1167/1167	===============	0/0	100.00	100.00	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_18_length_98007_cov_35.528469	66472	67845	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_1_length_440334_cov_31.502336	99711	100943	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.27	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_1_length_440334_cov_31.502336	179226	180974	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_1_length_440334_cov_31.502336	305630	306856	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_1_length_440334_cov_31.502336	315486	316694	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.35	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_1_length_440334_cov_31.502336	409525	409857	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_23_length_65426_cov_36.531714	41912	43555	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.30	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_2_length_295429_cov_30.329349	229318	229650	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_32_length_36303_cov_33.269779	31568	33034	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.09	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_32_length_36303_cov_33.269779	33031	35082	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.17	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_32_length_36303_cov_33.269779	35082	36113	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.32	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_33_length_31251_cov_33.722108	5787	7195	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	300	959	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	6755	6972	cardnewid_1952	1-218/786	=====..........	0/0	27.74	99.08	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	6983	7456	cardnewid_1929	1-474/474	===============	0/0	100.00	100.00	cardformatted	001929	cardformatted~~~cardnewid_1929~~~001929
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	8027	8866	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	18174	18989	cardnewid_890	1-816/816	===============	0/0	100.00	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	19050	19853	cardnewid_1722	1-804/804	===============	0/0	100.00	99.63	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	19853	20689	cardnewid_969	1-837/837	===============	0/0	100.00	99.76	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_35_length_30298_cov_38.797657	20920	21780	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_36_length_29819_cov_34.212091	21743	22095	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_40_length_19904_cov_37.009986	9371	10033	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_40_length_19904_cov_37.009986	10432	11589	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_40_length_19904_cov_37.009986	11601	14705	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.59	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_48_length_12882_cov_35.562124	339	1550	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
007d12b9-f903-446a-9d66-184fb751cae9_1_contigs.fa	NODE_4_length_250803_cov_32.497782	25174	26712	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
