#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_11_length_150731_cov_38.097316	54161	54691	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_11_length_150731_cov_38.097316	54818	55990	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.53	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_11_length_150731_cov_38.097316	56007	57545	cardnewid_1738	1-1539/1539	===============	0/0	100.00	99.87	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_12_length_143063_cov_37.968067	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_14_length_113309_cov_37.915457	69546	70778	cardnewid_2329	1-1233/1233	===============	0/0	100.00	97.24	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_15_length_113101_cov_38.344794	41636	42604	cardnewid_1968	1-969/969	===============	0/0	100.00	99.59	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_19_length_85862_cov_38.681424	5369	8473	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.10	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_19_length_85862_cov_38.681424	8485	9642	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_19_length_85862_cov_38.681424	10041	10703	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_1_length_379270_cov_38.118544	23380	23704	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_1_length_379270_cov_38.118544	23696	24054	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.56	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_20_length_84331_cov_38.286954	31575	35168	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.47	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_20_length_84331_cov_38.286954	35173	35787	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_20_length_84331_cov_38.286954	36311	37366	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.72	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_20_length_84331_cov_38.286954	37366	38899	cardnewid_501	1-1539/1539	========/======	1/5	99.68	99.35	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_22_length_74362_cov_38.072195	3187	4353	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.17	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_22_length_74362_cov_38.072195	30333	31741	cardnewid_1645	1-1409/1425	========/======	3/4	98.74	75.12	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_25_length_69249_cov_38.544874	21115	21498	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_26_length_67689_cov_39.046708	62438	63811	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_2_length_345904_cov_38.106010	51589	52821	cardnewid_1119	1-1233/1233	===============	0/0	100.00	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_38_length_30866_cov_38.430576	22669	23021	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_39_length_30361_cov_75.121946	20980	22226	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_39_length_30361_cov_75.121946	28441	28655	cardnewid_1952	1-215/786	=====..........	0/0	27.35	99.53	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_39_length_30361_cov_75.121946	28669	29142	cardnewid_1073	1-474/474	===============	0/0	100.00	100.00	cardformatted	001073	cardformatted~~~cardnewid_1073~~~001073
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_39_length_30361_cov_75.121946	29273	30061	cardnewid_1330	1-789/789	===============	0/0	100.00	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_3_length_322052_cov_38.399438	148386	149519	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_3_length_322052_cov_38.399438	191731	193374	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_3_length_322052_cov_38.399438	222773	223804	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.97	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_3_length_322052_cov_38.399438	223804	225855	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.34	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_3_length_322052_cov_38.399438	225852	227318	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_40_length_30114_cov_38.033958	12571	14319	cardnewid_2113	1-1749/1749	===============	0/0	100.00	99.37	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_42_length_23486_cov_37.821607	20598	20930	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_4_length_303761_cov_38.291115	10948	11769	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_4_length_303761_cov_38.291115	34144	35631	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_5_length_241959_cov_38.025310	93083	94276	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_5_length_241959_cov_38.025310	94299	97448	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.08	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_5_length_241959_cov_38.025310	182311	183468	cardnewid_2001	1-1158/1158	===============	0/0	100.00	99.40	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_6_length_217718_cov_38.632418	44924	46150	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.27	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_6_length_217718_cov_38.632418	54781	55989	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.51	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_6_length_217718_cov_38.632418	215739	216152	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_7_length_197069_cov_38.018148	30657	31904	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.16	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_7_length_197069_cov_38.018148	31904	35026	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.74	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_7_length_197069_cov_38.018148	35027	38104	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.60	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_7_length_197069_cov_38.018148	39517	40920	cardnewid_929	1-1404/1404	===============	0/0	100.00	98.08	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_7_length_197069_cov_38.018148	40917	41639	cardnewid_1255	1-723/723	===============	0/0	100.00	99.31	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_7_length_197069_cov_38.018148	180882	182525	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_83_length_4434_cov_70.705072	1521	2336	cardnewid_890	1-816/816	===============	0/0	100.00	100.00	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_8_length_196535_cov_37.191440	25756	27060	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.62	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_8_length_196535_cov_37.191440	58178	61291	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.07	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_8_length_196535_cov_37.191440	82541	83017	cardnewid_1625	1-477/477	===============	0/0	100.00	97.48	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_9_length_188380_cov_37.815207	454	1278	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_9_length_188380_cov_37.815207	1646	2374	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_9_length_188380_cov_37.815207	2737	5850	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.43	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_9_length_188380_cov_37.815207	5875	7032	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
4594ca43-7704-4d06-aad4-eb244dcd225e_1_contigs.fa	NODE_9_length_188380_cov_37.815207	172746	173378	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
