#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_10_length_179686_cov_65.627257	12525	14273	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.68	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_10_length_179686_cov_65.627257	94677	95909	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_12_length_127914_cov_65.628073	66309	67466	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.58	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_13_length_125680_cov_66.901141	23214	23546	cardnewid_2240	1-333/333	===============	0/0	100.00	91.89	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_15_length_118428_cov_70.660949	82239	82622	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_18_length_93920_cov_66.437401	83387	84049	cardnewid_486	1-663/663	===============	0/0	100.00	98.19	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_18_length_93920_cov_66.437401	84448	85605	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.27	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_18_length_93920_cov_66.437401	85617	88721	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.04	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_19_length_90911_cov_68.214589	32952	34325	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.54	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_1_length_610038_cov_66.646269	82678	84144	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.27	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_1_length_610038_cov_66.646269	84141	86192	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.17	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_1_length_610038_cov_66.646269	86192	87223	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.61	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_1_length_610038_cov_66.646269	116436	118079	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.79	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_1_length_610038_cov_66.646269	160154	161287	cardnewid_2338	1-1134/1134	===============	0/0	100.00	96.74	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_1_length_610038_cov_66.646269	318764	319996	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_20_length_89582_cov_66.446079	14515	15762	cardnewid_360	1-1248/1248	===============	0/0	100.00	99.44	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
91cbd7fd-bbe8-4092-8731-cd246f9fcbd8_1_contigs.fa	NODE_20_length_89582_cov_66.446079	15762	18884	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.17	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
