#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_10_length_208526_cov_28.181450	101268	102500	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.43	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_13_length_133039_cov_32.237609	57476	58849	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_15_length_104655_cov_27.370269	81174	81587	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_16_length_98669_cov_31.916616	91090	92247	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.53	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_16_length_98669_cov_31.916616	92272	95385	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.37	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_16_length_98669_cov_31.916616	95748	96476	cardnewid_2042	1-729/729	===============	0/0	100.00	100.00	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_16_length_98669_cov_31.916616	96845	97669	cardnewid_80	1-825/825	===============	0/0	100.00	93.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_17_length_94904_cov_31.299282	79274	79906	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_19_length_56866_cov_28.150857	38360	38743	cardnewid_1808	1-384/384	===============	0/0	100.00	98.18	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	55194	55915	cardnewid_1255	1-722/723	===============	0/0	99.86	97.23	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	55912	57315	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.38	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	58728	61805	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.15	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	61806	64928	cardnewid_772	1-3123/3123	===============	0/0	100.00	95.97	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	64928	66175	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	119192	120358	cardnewid_912	1-1167/1167	===============	0/0	100.00	100.00	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	162559	163967	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	257883	258215	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	582073	582431	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.94	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_1_length_605407_cov_27.223263	582423	582747	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_24_length_29819_cov_30.144711	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.70	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	103594	105237	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.99	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	163199	164167	cardnewid_1968	1-969/969	===============	0/0	100.00	97.52	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	301751	303289	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	303289	304344	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.54	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	304868	305482	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	305487	309080	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.24	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	365621	365703	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_2_length_530337_cov_28.607649	397037	400150	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.43	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_3_length_468532_cov_29.196461	134473	135630	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.32	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
f12d0536-ba20-4ab7-9ba6-204f6a96707a_1_contigs.fa	NODE_3_length_468532_cov_29.196461	220363	223512	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.86	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
