#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_10_length_125648_cov_71.614242	61285	62658	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_11_length_122978_cov_71.246271	62093	63631	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_11_length_122978_cov_71.246271	63648	64820	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_11_length_122978_cov_71.246271	64947	65477	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_12_length_119141_cov_69.824254	8146	8823	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_12_length_119141_cov_69.824254	12785	12928	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_13_length_113154_cov_70.518240	71723	72136	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_14_length_107974_cov_70.300629	16682	17908	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_14_length_107974_cov_70.300629	26537	27745	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_17_length_91077_cov_67.820242	7703	8671	cardnewid_1968	1-969/969	===============	0/0	100.00	99.90	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_19_length_79106_cov_72.327247	47849	48232	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_1_length_493725_cov_74.864991	411122	411598	cardnewid_1625	1-477/477	===============	0/0	100.00	98.32	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_1_length_493725_cov_74.864991	432282	435395	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.33	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_1_length_493725_cov_74.864991	466726	468030	cardnewid_1960	1-1305/1305	===============	0/0	100.00	98.70	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_23_length_54607_cov_75.490482	15702	17240	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.03	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_23_length_54607_cov_75.490482	17240	18295	cardnewid_568	1-1056/1056	===============	0/0	100.00	99.81	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_23_length_54607_cov_75.490482	18819	19433	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_23_length_54607_cov_75.490482	19438	23031	cardnewid_1238	1-3594/3594	===============	0/0	100.00	100.00	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_29_length_42743_cov_77.888248	41192	42403	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_2_length_407358_cov_69.588729	381608	381966	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_2_length_407358_cov_69.588729	381958	382282	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_30_length_42322_cov_80.368162	35273	36430	cardnewid_1790	1-1158/1158	===============	0/0	100.00	100.00	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_30_length_42322_cov_80.368162	36455	39568	cardnewid_107	1-3114/3114	===============	0/0	100.00	99.97	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_30_length_42322_cov_80.368162	39931	40659	cardnewid_2042	1-729/729	===============	0/0	100.00	94.65	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_30_length_42322_cov_80.368162	41027	41851	cardnewid_80	1-825/825	===============	0/0	100.00	100.00	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_38_length_30887_cov_69.221941	7846	8198	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_3_length_286513_cov_71.863261	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_3_length_286513_cov_71.863261	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	99.91	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_3_length_286513_cov_71.863261	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_3_length_286513_cov_71.863261	220201	221022	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_3_length_286513_cov_71.863261	243398	244885	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	299	958	cardnewid_716	1-660/660	===============	0/0	100.00	99.85	cardformatted	000716	cardformatted~~~cardnewid_716~~~000716
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	6754	6968	cardnewid_1952	1-215/786	=====..........	0/0	27.35	99.53	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	6982	7455	cardnewid_1073	1-474/474	===============	0/0	100.00	100.00	cardformatted	001073	cardformatted~~~cardnewid_1073~~~001073
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	7586	8374	cardnewid_1330	1-789/789	===============	0/0	100.00	100.00	cardformatted	001330	cardformatted~~~cardnewid_1330~~~001330
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	8921	9760	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_4_length_283263_cov_69.807406	102304	103536	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_4_length_283263_cov_69.807406	200696	202444	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_55_length_5739_cov_82.000706	2459	3664	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_57_length_4539_cov_55.003810	1939	2754	cardnewid_890	1-816/816	===============	0/0	100.00	99.63	cardformatted	000890	cardformatted~~~cardnewid_890~~~000890
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_57_length_4539_cov_55.003810	2815	3618	cardnewid_1722	1-804/804	===============	0/0	100.00	99.75	cardformatted	001722	cardformatted~~~cardnewid_1722~~~001722
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_57_length_4539_cov_55.003810	3618	4454	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_5_length_263989_cov_73.524849	60149	61615	cardnewid_37	1-1467/1467	===============	0/0	100.00	100.00	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_5_length_263989_cov_73.524849	61612	63663	cardnewid_1932	1-2052/2052	===============	0/0	100.00	99.95	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_5_length_263989_cov_73.524849	63663	64694	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_5_length_263989_cov_73.524849	94295	95938	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.94	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_5_length_263989_cov_73.524849	138160	139293	cardnewid_2338	1-1134/1134	===============	0/0	100.00	100.00	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_69_length_888_cov_74.493218	164	812	cardnewid_271	1-649/816	============...	0/0	79.53	99.23	cardformatted	000271	cardformatted~~~cardnewid_271~~~000271
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_6_length_257418_cov_70.918377	36162	37409	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
