#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_114_length_991_cov_96.393873	149	991	resfindernewid_1273	19-861/861	===============	0/0	97.91	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_12_length_166733_cov_32.941862	99711	100943	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	97.81	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_227_length_229_cov_53.342105	1	95	resfindernewid_1273	1-95/861	==.............	0/0	11.03	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_23_length_65379_cov_56.641558	55748	56629	resfindernewid_761	1-882/882	===============	0/0	100.00	100.00	resfinderformatted	000761	resfinderformatted~~~resfindernewid_761~~~000761
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_50_length_10119_cov_57.445828	146	1067	resfindernewid_2511	1-921/921	========/======	1/1	100.00	99.67	resfinderformatted	002511	resfinderformatted~~~resfindernewid_2511~~~002511
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_50_length_10119_cov_57.445828	146	1051	resfindernewid_2510	1-906/906	===============	0/0	100.00	100.00	resfinderformatted	002510	resfinderformatted~~~resfindernewid_2510~~~002510
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_50_length_10119_cov_57.445828	6362	7228	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_50_length_10119_cov_57.445828	7748	8536	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_50_length_10119_cov_57.445828	8667	9140	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_50_length_10119_cov_57.445828	9159	9325	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_67_length_4326_cov_58.478936	1006	2252	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_67_length_4326_cov_58.478936	3231	4067	resfindernewid_41	1-837/837	===============	0/0	100.00	99.88	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_67_length_4326_cov_58.478936	4067	4253	resfindernewid_47	618-804/804	...........====	0/0	23.26	99.47	resfinderformatted	000047	resfinderformatted~~~resfindernewid_47~~~000047
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_75_length_3148_cov_79.458808	2095	2955	resfindernewid_115	1-861/861	===============	0/0	100.00	99.88	resfinderformatted	000115	resfinderformatted~~~resfindernewid_115~~~000115
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_88_length_2138_cov_51.615721	77	704	resfindernewid_239	1-628/804	============...	0/0	78.11	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_88_length_2138_cov_51.615721	765	1580	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_91_length_1862_cov_55.654342	1	95	resfindernewid_1272	1-95/861	==.............	0/0	11.03	100.00	resfinderformatted	001272	resfinderformatted~~~resfindernewid_1272~~~001272
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_91_length_1862_cov_55.654342	795	1619	resfindernewid_865	1-825/825	===============	0/0	100.00	99.88	resfinderformatted	000865	resfinderformatted~~~resfindernewid_865~~~000865
4dc153e6-f1bf-40f9-abf7-f0358ee8c4dd_1_contigs.fa	NODE_91_length_1862_cov_55.654342	1679	1789	resfindernewid_163	679-789/789	............===	0/0	14.07	99.10	resfinderformatted	000163	resfinderformatted~~~resfindernewid_163~~~000163
