#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_11_length_180248_cov_48.963096	139839	140996	cardnewid_2001	1-1158/1158	===============	0/0	100.00	96.89	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_12_length_150847_cov_47.308801	135131	135763	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_13_length_147752_cov_47.299042	59712	60242	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_13_length_147752_cov_47.299042	60369	61541	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_13_length_147752_cov_47.299042	61558	63096	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_14_length_147166_cov_49.656038	53275	54441	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.34	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_15_length_139356_cov_47.460967	121932	123125	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.25	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_15_length_139356_cov_47.460967	123148	126297	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.05	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_16_length_130951_cov_46.757905	122461	123138	cardnewid_2055	1-678/678	===============	0/0	100.00	95.43	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_18_length_108930_cov_47.414614	73465	74673	cardnewid_349	1-1209/1209	===============	0/0	100.00	97.85	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_18_length_108930_cov_47.414614	83304	84530	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.45	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_1_length_339774_cov_47.204123	109155	110903	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.97	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_1_length_339774_cov_47.204123	230853	232085	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_21_length_94181_cov_50.880005	92613	93845	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.51	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_22_length_92442_cov_49.858258	22473	23846	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.62	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_25_length_82146_cov_47.407694	660	1907	cardnewid_360	1-1248/1248	===============	0/0	100.00	96.55	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_25_length_82146_cov_47.407694	1907	5029	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.93	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_25_length_82146_cov_47.407694	5030	8107	cardnewid_1236	1-3078/3078	===============	0/0	100.00	96.69	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_25_length_82146_cov_47.407694	9520	10923	cardnewid_929	1-1404/1404	===============	0/0	100.00	92.17	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_25_length_82146_cov_47.407694	10920	11641	cardnewid_1255	1-722/723	===============	0/0	99.86	96.95	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_28_length_56590_cov_53.655442	49580	50737	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
f4a8cd66-8ae6-421d-90d5-f93ceeaf9ae8_1_contigs.fa	NODE_28_length_56590_cov_53.655442	50762	53875	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
