#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_11_length_113222_cov_37.912139	7987	8664	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_11_length_113222_cov_37.912139	12856	12999	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_13_length_111077_cov_35.231811	90171	90554	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_14_length_94503_cov_35.165060	66758	67966	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.43	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_14_length_94503_cov_35.165060	76597	77823	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.67	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_15_length_92700_cov_43.486888	77066	77698	cardnewid_816	1-633/633	===============	0/0	100.00	99.37	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_18_length_88656_cov_36.041274	68866	69279	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_19_length_81101_cov_44.743311	23015	24148	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.18	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_1_length_291425_cov_43.575285	357	3461	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_1_length_291425_cov_43.575285	3473	4630	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.88	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_1_length_291425_cov_43.575285	5029	5691	cardnewid_486	1-663/663	===============	0/0	100.00	99.10	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_1_length_291425_cov_43.575285	215285	216106	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_1_length_291425_cov_43.575285	238480	239967	cardnewid_776	1-1488/1488	===============	0/0	100.00	99.73	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_20_length_76068_cov_42.439263	36829	38367	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.94	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_20_length_76068_cov_42.439263	38367	39422	cardnewid_568	1-1056/1056	===============	0/0	100.00	100.00	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_20_length_76068_cov_42.439263	39946	40560	cardnewid_954	1-615/615	===============	0/0	100.00	100.00	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
3c13a861-11b1-4c6c-8dfc-9d632b3edb22_1_contigs.fa	NODE_20_length_76068_cov_42.439263	40565	44158	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.97	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
