#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_10_length_147589_cov_55.199041	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.84	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_12_length_125004_cov_58.599934	80541	81773	cardnewid_1119	1-1233/1233	===============	0/0	100.00	94.81	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_13_length_124341_cov_54.487446	114179	114655	cardnewid_1625	1-477/477	===============	0/0	100.00	98.32	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_14_length_119346_cov_55.683656	106189	106332	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_14_length_119346_cov_55.683656	110524	111201	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_15_length_106342_cov_56.466993	21417	22583	cardnewid_912	1-1167/1167	===============	0/0	100.00	95.97	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_15_length_106342_cov_56.466993	76611	77858	cardnewid_360	1-1248/1248	===============	0/0	100.00	99.52	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_15_length_106342_cov_56.466993	77858	80980	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.69	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_15_length_106342_cov_56.466993	80981	84058	cardnewid_1236	1-3078/3078	===============	0/0	100.00	99.87	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_15_length_106342_cov_56.466993	85471	86874	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_15_length_106342_cov_56.466993	86871	87593	cardnewid_1255	1-723/723	===============	0/0	100.00	100.00	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_16_length_103396_cov_55.548689	73757	74965	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
2f5d84d1-f1ba-42a5-9d80-8d273aa5e634_1_contigs.fa	NODE_16_length_103396_cov_55.548689	83594	84820	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
