#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_10_length_174701_cov_41.783271	25425	27068	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.85	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_10_length_174701_cov_41.783271	56283	57314	cardnewid_1350	1-1032/1032	===============	0/0	100.00	95.74	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_10_length_174701_cov_41.783271	57314	59365	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_10_length_174701_cov_41.783271	59362	60828	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.61	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_11_length_173972_cov_37.271008	132358	133030	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_12_length_173920_cov_37.032932	71976	73208	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_13_length_169184_cov_38.842691	68047	69240	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.16	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_13_length_169184_cov_38.842691	69263	72412	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.63	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_13_length_169184_cov_38.842691	157273	158430	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.50	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_14_length_132571_cov_44.491034	74156	75529	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_15_length_127355_cov_37.368155	68719	69927	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.26	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_15_length_127355_cov_37.368155	78556	79782	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.21	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_16_length_119778_cov_36.909483	77319	79067	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_18_length_112369_cov_36.536076	72	713	cardnewid_1968	328-969/969	.....==========	0/0	66.25	98.13	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_18_length_112369_cov_36.536076	109318	110856	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.73	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_18_length_112369_cov_36.536076	110856	111911	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_1_length_581699_cov_36.600938	37966	38349	cardnewid_1808	1-384/384	===============	0/0	100.00	98.70	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_1_length_581699_cov_36.600938	76002	76326	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_1_length_581699_cov_36.600938	76318	76676	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.67	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_1_length_581699_cov_36.600938	416956	417288	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_1_length_581699_cov_36.600938	513656	515064	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.27	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_21_length_82093_cov_42.321547	14931	16064	cardnewid_2338	1-1134/1134	===============	0/0	100.00	98.15	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_2_length_380492_cov_40.409135	48957	49487	cardnewid_1248	1-531/531	===============	0/0	100.00	98.68	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_2_length_380492_cov_40.409135	49614	50786	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_2_length_380492_cov_40.409135	50803	52341	cardnewid_1738	1-1539/1539	===============	0/0	100.00	96.95	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_30_length_29924_cov_41.590311	21848	22200	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.28	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_33_length_22644_cov_38.977489	19414	20580	cardnewid_912	1-1167/1167	===============	0/0	100.00	96.92	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_3_length_348078_cov_42.836906	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	96.49	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_3_length_348078_cov_42.836906	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_3_length_348078_cov_42.836906	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	98.34	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_3_length_348078_cov_42.836906	210378	211197	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_3_length_348078_cov_42.836906	238726	240213	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.32	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	72	401	cardnewid_1968	1-330/969	======.........	0/0	34.06	96.67	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	58296	59939	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.05	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	200837	201558	cardnewid_1255	1-722/723	===============	0/0	99.86	96.81	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	201555	202958	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.53	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	204371	207448	cardnewid_1236	1-3078/3078	===============	0/0	100.00	94.18	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	207449	210571	cardnewid_772	1-3123/3123	===============	0/0	100.00	96.29	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_5_length_242345_cov_37.029104	210571	211818	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.11	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_68_length_3124_cov_114.137512	1	2363	cardnewid_1238	1-2363/3594	==========.....	0/0	65.75	95.51	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_68_length_3124_cov_114.137512	2368	2982	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_6_length_227319_cov_36.614217	126610	127023	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_79_length_2379_cov_43.811468	1072	2379	cardnewid_1238	2287-3594/3594	.........======	0/0	36.39	97.94	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_7_length_219761_cov_38.328267	127355	130468	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.04	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_7_length_219761_cov_38.328267	161728	161810	cardnewid_1960	1-83/1305	=..............	0/0	6.36	97.59	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_7_length_219761_cov_38.328267	218454	219761	cardnewid_1238	2287-3594/3594	.........======	0/0	36.39	97.94	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_9_length_202976_cov_42.107270	827	1651	cardnewid_80	1-825/825	===============	0/0	100.00	93.82	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_9_length_202976_cov_42.107270	2020	2748	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_9_length_202976_cov_42.107270	3111	6224	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.33	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
826d3323-3fac-44c4-b30e-9be1fbbdc303_1_contigs.fa	NODE_9_length_202976_cov_42.107270	6249	7406	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.62	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
