#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_10_length_156974_cov_40.940541	100148	100506	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_10_length_156974_cov_40.940541	100498	100822	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_11_length_149330_cov_41.824258	24806	26554	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.80	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_11_length_149330_cov_41.824258	113221	114453	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_13_length_124092_cov_44.928896	103258	104796	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.25	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_13_length_124092_cov_44.928896	104813	105985	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.21	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_13_length_124092_cov_44.928896	106112	106642	cardnewid_1248	1-531/531	===============	0/0	100.00	99.25	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_14_length_122290_cov_43.297718	6534	10127	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.63	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_14_length_122290_cov_43.297718	10132	10746	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
3d5bc63a-8c51-4291-9986-5ef545fa874b_1_contigs.fa	NODE_14_length_122290_cov_43.297718	11270	12325	cardnewid_568	1-1056/1056	===============	0/0	100.00	96.97	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
