#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_11_length_116891_cov_46.192845	47690	48509	cardnewid_1713	1-820/822	===============	0/0	99.76	98.54	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_11_length_116891_cov_46.192845	70868	72355	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.45	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_12_length_111451_cov_48.461777	100918	101580	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_12_length_111451_cov_48.461777	101979	103136	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_12_length_111451_cov_48.461777	103148	106252	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_15_length_99453_cov_45.944675	22693	23925	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.19	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_16_length_98918_cov_44.028045	91887	93044	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.65	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_16_length_98918_cov_44.028045	93069	96182	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.55	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_16_length_98918_cov_44.028045	96545	97273	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_16_length_98918_cov_44.028045	97641	98465	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_17_length_94475_cov_49.006409	78766	79398	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	76886	77854	cardnewid_1968	1-969/969	===============	0/0	100.00	99.38	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	124894	126537	cardnewid_2133	1-1644/1644	===============	0/0	100.00	98.48	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	298222	298944	cardnewid_1255	1-723/723	===============	0/0	100.00	97.93	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	298941	300344	cardnewid_929	1-1404/1404	===============	0/0	100.00	100.00	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	301757	304834	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.90	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	304835	307957	cardnewid_772	1-3123/3123	===============	0/0	100.00	98.59	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_1_length_358190_cov_43.224116	307957	309204	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.08	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_21_length_84899_cov_50.382401	22615	23988	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.76	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_22_length_82555_cov_45.810058	15967	17433	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_22_length_82555_cov_45.810058	17430	19481	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.39	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_22_length_82555_cov_45.810058	19481	20512	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_22_length_82555_cov_45.810058	43213	44856	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_27_length_74831_cov_37.113546	53539	53922	cardnewid_1808	1-384/384	===============	0/0	100.00	99.22	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_29_length_60650_cov_64.370644	9393	10639	cardnewid_1828	1-1247/1275	===============	0/0	97.80	100.00	cardformatted	001828	cardformatted~~~cardnewid_1828~~~001828
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_29_length_60650_cov_64.370644	23080	23919	cardnewid_1001	1-840/840	===============	0/0	100.00	100.00	cardformatted	001001	cardformatted~~~cardnewid_1001~~~001001
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_29_length_60650_cov_64.370644	24424	25225	cardnewid_2295	171-972/972	..=============	0/0	82.51	99.63	cardformatted	002295	cardformatted~~~cardnewid_2295~~~002295
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_29_length_60650_cov_64.370644	25308	25781	cardnewid_1874	1-474/474	===============	0/0	100.00	100.00	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_29_length_60650_cov_64.370644	25799	26008	cardnewid_1952	1-210/786	=====..........	0/0	26.72	100.00	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
bceb2c0f-c7f5-49b6-b833-c8274693ed7d_1_contigs.fa	NODE_29_length_60650_cov_64.370644	27028	27864	cardnewid_969	1-837/837	===============	0/0	100.00	99.88	cardformatted	000969	cardformatted~~~cardnewid_969~~~000969
