#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_100_length_452_cov_30.370667	1	452	cardnewid_1238	2287-2738/3594	.........===...	0/0	12.58	98.45	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_10_length_182259_cov_31.017488	30006	31649	cardnewid_609	1-1644/1644	===============	0/0	100.00	91.12	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_10_length_182259_cov_31.017488	60870	61901	cardnewid_1350	1-1032/1032	===============	0/0	100.00	94.86	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_10_length_182259_cov_31.017488	61901	63952	cardnewid_1932	1-2052/2052	===============	0/0	100.00	97.08	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_10_length_182259_cov_31.017488	63949	65415	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.68	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_11_length_172498_cov_31.922799	107704	109071	cardnewid_137	1-1368/1374	===============	0/0	99.56	98.61	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_124_length_318_cov_30.070539	1	318	cardnewid_1238	3109-3426/3594	............===	0/0	8.85	97.80	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_127_length_317_cov_35.937500	1	317	cardnewid_1238	2671-2987/3594	...........==..	0/0	8.82	97.79	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_13_length_168441_cov_30.099760	10905	11724	cardnewid_1713	1-820/822	===============	0/0	99.76	98.17	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_13_length_168441_cov_30.099760	32168	33655	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.39	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_15_length_144087_cov_30.076550	128024	129157	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.88	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_17_length_122832_cov_25.617360	120851	121264	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_19_length_73281_cov_29.929430	69789	70319	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_19_length_73281_cov_29.929430	70446	71618	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.12	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_19_length_73281_cov_29.929430	71635	73173	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.12	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	135149	135481	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	234058	235466	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	285639	286805	cardnewid_912	1-1167/1167	===============	0/0	100.00	97.00	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	341186	342433	cardnewid_360	1-1248/1248	===============	0/0	100.00	95.75	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	342433	345555	cardnewid_772	1-3123/3123	===============	0/0	100.00	95.90	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	345556	348633	cardnewid_1236	1-3078/3078	===============	0/0	100.00	93.96	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	350046	351449	cardnewid_929	1-1404/1404	===============	0/0	100.00	90.60	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	351446	352167	cardnewid_1255	1-722/723	===============	0/0	99.86	96.68	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	487627	489270	cardnewid_2133	1-1644/1644	===============	0/0	100.00	97.93	cardformatted	002133	cardformatted~~~cardnewid_2133~~~002133
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	547498	548466	cardnewid_1968	1-969/969	===============	0/0	100.00	97.73	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	647451	648989	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_1_length_650502_cov_25.344985	648989	650044	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.35	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_27_length_32875_cov_27.188182	31568	32875	cardnewid_1238	2287-3594/3594	.........======	0/0	36.39	97.78	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_2_length_514769_cov_27.103415	40922	41594	cardnewid_2055	1-673/678	===============	0/0	99.26	95.84	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_2_length_514769_cov_27.103415	255301	256494	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_2_length_514769_cov_27.103415	256517	259666	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.79	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_2_length_514769_cov_27.103415	348427	349584	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.24	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_30_length_29865_cov_28.819357	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.84	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_31_length_29060_cov_33.407342	26323	27183	cardnewid_45	1-861/861	===============	0/0	100.00	99.88	cardformatted	000045	cardformatted~~~cardnewid_45~~~000045
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_35_length_18696_cov_51.174499	2097	3302	cardnewid_452	1-1206/1206	===============	0/0	100.00	99.75	cardformatted	000452	cardformatted~~~cardnewid_452~~~000452
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_3_length_329389_cov_25.113148	59985	61193	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.01	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_3_length_329389_cov_25.113148	69824	71050	cardnewid_562	1-1227/1227	===============	0/0	100.00	98.37	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_3_length_329389_cov_25.113148	195834	197582	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.06	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_3_length_329389_cov_25.113148	275722	276954	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
a9eff813-902a-4672-a311-43e26851a0ec_1_contigs.fa	NODE_56_length_4615_cov_93.888056	151	1011	cardnewid_934	1-861/861	===============	0/0	100.00	99.88	cardformatted	000934	cardformatted~~~cardnewid_934~~~000934
