#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_10_length_199296_cov_43.056812	94040	94570	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_10_length_199296_cov_43.056812	94697	95869	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.78	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_10_length_199296_cov_43.056812	95886	97424	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.38	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_12_length_158321_cov_40.831419	5706	6674	cardnewid_1968	1-969/969	===============	0/0	100.00	98.45	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_12_length_158321_cov_40.831419	119300	120838	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.92	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_12_length_158321_cov_40.831419	120838	121893	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.35	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_12_length_158321_cov_40.831419	122417	123031	cardnewid_954	1-615/615	===============	0/0	100.00	99.19	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_12_length_158321_cov_40.831419	123036	126629	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.88	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_13_length_157328_cov_39.825597	135745	136158	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_14_length_151747_cov_41.500257	22543	22625	cardnewid_1960	1-83/1305	=..............	0/0	6.36	98.80	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_14_length_151747_cov_41.500257	53984	57097	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.97	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_14_length_151747_cov_41.500257	77804	78278	cardnewid_1625	3-477/477	===============	0/0	99.58	95.58	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_15_length_134367_cov_45.162246	15078	15710	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_16_length_126142_cov_46.616428	63863	65236	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.89	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_17_length_118623_cov_39.449876	104969	106377	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.05	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_1_length_353644_cov_44.725356	115620	117107	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.12	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_1_length_353644_cov_44.725356	143171	143990	cardnewid_1713	1-820/822	===============	0/0	99.76	96.71	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_1_length_353644_cov_44.725356	343112	343774	cardnewid_486	1-663/663	===============	0/0	100.00	97.44	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_1_length_353644_cov_44.725356	344173	345330	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.19	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_1_length_353644_cov_44.725356	345342	348446	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.46	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_20_length_104844_cov_41.771579	96744	97076	cardnewid_2240	1-333/333	===============	0/0	100.00	98.80	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_24_length_76662_cov_45.886884	69595	70752	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.19	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_24_length_76662_cov_45.886884	70777	73890	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.27	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_24_length_76662_cov_45.886884	74253	74981	cardnewid_2042	1-729/729	===============	0/0	100.00	95.88	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_24_length_76662_cov_45.886884	75350	76174	cardnewid_80	1-825/825	===============	0/0	100.00	96.85	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_25_length_76267_cov_39.148025	58727	59110	cardnewid_1808	1-384/384	===============	0/0	100.00	99.48	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_26_length_72143_cov_45.263425	153	1364	cardnewid_1119	22-1233/1233	===============	0/0	98.30	95.54	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_2_length_332135_cov_38.451566	22945	23269	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_2_length_332135_cov_38.451566	23261	23619	cardnewid_2595	5-363/363	========/======	2/2	98.62	76.39	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_33_length_32343_cov_39.715087	20693	21859	cardnewid_912	1-1167/1167	===============	0/0	100.00	99.74	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
e707f22c-0e5b-4a3c-bd8a-153791dbf34e_1_contigs.fa	NODE_35_length_30825_cov_46.916775	22749	23101	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
