#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_12_length_102622_cov_45.534565	18913	20139	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.59	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_12_length_102622_cov_45.534565	28770	29978	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.59	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_13_length_91480_cov_44.566294	50806	51999	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_13_length_91480_cov_44.566294	52022	55171	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.59	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_15_length_86482_cov_47.562664	62498	63871	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.91	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_16_length_82385_cov_47.755917	70099	71586	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_17_length_81121_cov_47.091185	12206	13510	cardnewid_1960	1-1305/1305	===============	0/0	100.00	97.16	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_17_length_81121_cov_47.091185	68137	71730	cardnewid_1238	1-3594/3594	===============	0/0	100.00	99.64	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_17_length_81121_cov_47.091185	71735	72349	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_17_length_81121_cov_47.091185	72873	73928	cardnewid_568	1-1056/1056	===============	0/0	100.00	100.00	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_17_length_81121_cov_47.091185	73928	75466	cardnewid_501	1-1539/1539	===============	0/0	100.00	99.94	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_19_length_78918_cov_45.803465	77932	78345	cardnewid_1170	1-414/414	===============	0/0	100.00	99.52	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_1_length_172061_cov_46.580019	11741	12562	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_2_length_163067_cov_45.233597	14662	14986	cardnewid_2598	6-330/330	===============	0/0	98.48	75.69	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_2_length_163067_cov_45.233597	14978	15336	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_30_length_56155_cov_44.645743	38820	40067	cardnewid_360	1-1248/1248	===============	0/0	100.00	98.00	cardformatted	000360	cardformatted~~~cardnewid_360~~~000360
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_30_length_56155_cov_44.645743	40067	43189	cardnewid_772	1-3123/3123	===============	0/0	100.00	99.68	cardformatted	000772	cardformatted~~~cardnewid_772~~~000772
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_30_length_56155_cov_44.645743	43190	46267	cardnewid_1236	1-3078/3078	===============	0/0	100.00	98.93	cardformatted	001236	cardformatted~~~cardnewid_1236~~~001236
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_30_length_56155_cov_44.645743	47680	49083	cardnewid_929	1-1404/1404	===============	0/0	100.00	99.86	cardformatted	000929	cardformatted~~~cardnewid_929~~~000929
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_30_length_56155_cov_44.645743	49080	49802	cardnewid_1255	1-723/723	===============	0/0	100.00	98.20	cardformatted	001255	cardformatted~~~cardnewid_1255~~~001255
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_31_length_55542_cov_49.239214	5953	7185	cardnewid_1119	1-1233/1233	===============	0/0	100.00	96.35	cardformatted	001119	cardformatted~~~cardnewid_1119~~~001119
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_34_length_50826_cov_45.787740	48728	49885	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.88	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_37_length_47782_cov_47.593271	5368	8472	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.03	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_37_length_47782_cov_47.593271	8484	9641	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_37_length_47782_cov_47.593271	10040	10702	cardnewid_486	1-663/663	===============	0/0	100.00	99.10	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_3_length_161968_cov_45.642377	113588	114062	cardnewid_1625	3-477/477	===============	0/0	99.58	97.89	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_3_length_161968_cov_45.642377	134796	137909	cardnewid_1337	1-3114/3114	===============	0/0	100.00	99.26	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_40_length_45110_cov_46.215486	31059	31442	cardnewid_1808	1-384/384	===============	0/0	100.00	99.74	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_42_length_44312_cov_49.480434	26173	27581	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.34	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_4_length_156542_cov_44.318768	65855	67603	cardnewid_2113	1-1749/1749	===============	0/0	100.00	98.91	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_53_length_35512_cov_46.673938	7365	8597	cardnewid_2329	1-1233/1233	===============	0/0	100.00	98.38	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_58_length_30861_cov_45.413462	22664	23016	cardnewid_2328	2980-3332/3489	......../...===	4/6	10.03	75.56	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_5_length_156179_cov_48.266063	28358	29824	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.36	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_5_length_156179_cov_48.266063	29821	31872	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.98	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_5_length_156179_cov_48.266063	31872	32903	cardnewid_1350	1-1032/1032	===============	0/0	100.00	100.00	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_5_length_156179_cov_48.266063	55702	57345	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.39	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_5_length_156179_cov_48.266063	122566	123699	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.53	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_67_length_21331_cov_45.032370	15003	15635	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_6_length_155098_cov_45.128499	95732	96700	cardnewid_1968	1-969/969	===============	0/0	100.00	100.00	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_72_length_19459_cov_50.705552	296	628	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_78_length_15869_cov_63.435854	15167	15260	cardnewid_912	1074-1167/1167	.............==	0/0	8.05	92.55	cardformatted	000912	cardformatted~~~cardnewid_912~~~000912
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_89_length_7522_cov_50.191538	491	1648	cardnewid_1790	1-1158/1158	===============	0/0	100.00	99.57	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_89_length_7522_cov_50.191538	1673	4786	cardnewid_107	1-3114/3114	===============	0/0	100.00	98.49	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_89_length_7522_cov_50.191538	5149	5877	cardnewid_2042	1-729/729	===============	0/0	100.00	94.38	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_89_length_7522_cov_50.191538	6245	7069	cardnewid_80	1-825/825	===============	0/0	100.00	97.94	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_8_length_121746_cov_47.290830	43790	44320	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_8_length_121746_cov_47.290830	44447	45619	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.83	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_8_length_121746_cov_47.290830	45636	47174	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_9_length_121213_cov_45.279768	108266	108409	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
75407a3b-87ae-4e94-b7b9-315d2692bed6_1_contigs.fa	NODE_9_length_121213_cov_45.279768	112695	113372	cardnewid_2055	1-678/678	===============	0/0	100.00	96.76	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
