#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_10_length_190987_cov_35.083804	443	1267	cardnewid_80	1-825/825	===============	0/0	100.00	93.70	cardformatted	000080	cardformatted~~~cardnewid_80~~~000080
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_10_length_190987_cov_35.083804	1636	2364	cardnewid_2042	1-729/729	===============	0/0	100.00	99.86	cardformatted	002042	cardformatted~~~cardnewid_2042~~~002042
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_10_length_190987_cov_35.083804	2727	5840	cardnewid_107	1-3114/3114	===============	0/0	100.00	97.08	cardformatted	000107	cardformatted~~~cardnewid_107~~~000107
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_10_length_190987_cov_35.083804	5865	7022	cardnewid_1790	1-1158/1158	===============	0/0	100.00	98.27	cardformatted	001790	cardformatted~~~cardnewid_1790~~~001790
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_10_length_190987_cov_35.083804	175354	175986	cardnewid_816	1-633/633	===============	0/0	100.00	99.21	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_11_length_190671_cov_33.013584	46903	47433	cardnewid_1248	1-531/531	===============	0/0	100.00	98.49	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_11_length_190671_cov_33.013584	47560	48732	cardnewid_1650	1-1173/1173	===============	0/0	100.00	98.04	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_11_length_190671_cov_33.013584	48749	50287	cardnewid_1738	1-1539/1539	===============	0/0	100.00	98.44	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_12_length_186390_cov_32.379507	24731	24813	cardnewid_1960	1-83/1305	=..............	0/0	6.36	95.18	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_12_length_186390_cov_32.379507	56047	59160	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.65	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_14_length_137621_cov_34.960536	69777	71150	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.47	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_1_length_443246_cov_33.157613	53969	54641	cardnewid_2055	1-673/678	===============	0/0	99.26	95.54	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_1_length_443246_cov_33.157613	278810	280003	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.08	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_1_length_443246_cov_33.157613	280026	283175	cardnewid_1033	1-3150/3150	===============	0/0	100.00	98.76	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_1_length_443246_cov_33.157613	367912	369069	cardnewid_2001	1-1158/1158	===============	0/0	100.00	97.06	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_20_length_53078_cov_33.104017	31571	35164	cardnewid_1238	1-3594/3594	===============	0/0	100.00	96.30	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_20_length_53078_cov_33.104017	35169	35783	cardnewid_954	1-615/615	===============	0/0	100.00	99.02	cardformatted	000954	cardformatted~~~cardnewid_954~~~000954
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_20_length_53078_cov_33.104017	36307	37362	cardnewid_568	1-1056/1056	===============	0/0	100.00	97.73	cardformatted	000568	cardformatted~~~cardnewid_568~~~000568
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_20_length_53078_cov_33.104017	37362	38900	cardnewid_501	1-1539/1539	===============	0/0	100.00	97.66	cardformatted	000501	cardformatted~~~cardnewid_501~~~000501
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_24_length_33700_cov_32.365672	5787	7195	cardnewid_1645	1-1409/1425	========/======	2/4	98.74	75.19	cardformatted	001645	cardformatted~~~cardnewid_1645~~~001645
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_26_length_29819_cov_34.906462	7725	8077	cardnewid_2328	2980-3332/3489	......../...===	6/10	9.97	75.98	cardformatted	002328	cardformatted~~~cardnewid_2328~~~002328
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_2_length_434755_cov_30.905528	27847	28230	cardnewid_1808	1-384/384	===============	0/0	100.00	98.96	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_2_length_434755_cov_30.905528	58794	59118	cardnewid_2598	6-330/330	===============	0/0	98.48	75.38	cardformatted	002598	cardformatted~~~cardnewid_2598~~~002598
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_2_length_434755_cov_30.905528	59110	59468	cardnewid_2595	5-363/363	========/======	2/2	98.62	75.83	cardformatted	002595	cardformatted~~~cardnewid_2595~~~002595
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_2_length_434755_cov_30.905528	384359	384691	cardnewid_2240	1-333/333	===============	0/0	100.00	92.19	cardformatted	002240	cardformatted~~~cardnewid_2240~~~002240
95736ba7-f19e-4909-86cc-231a533890cd_1_contigs.fa	NODE_39_length_6682_cov_55.986980	1827	2041	cardnewid_1952	1-215/786	=====..........	0/0	27.35	99.53	cardformatted	001952	cardformatted~~~cardnewid_1952~~~001952
