#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_10_length_139876_cov_44.058355	19606	21072	cardnewid_37	1-1467/1467	===============	0/0	100.00	96.86	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_10_length_139876_cov_44.058355	21069	23120	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.78	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_10_length_139876_cov_44.058355	23120	24151	cardnewid_1350	1-1032/1032	===============	0/0	100.00	97.87	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_10_length_139876_cov_44.058355	46695	48338	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.11	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_10_length_139876_cov_44.058355	90248	91381	cardnewid_2338	1-1134/1134	===============	0/0	100.00	97.97	cardformatted	002338	cardformatted~~~cardnewid_2338~~~002338
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_11_length_139660_cov_45.418110	39944	41317	cardnewid_137	1-1374/1374	===============	0/0	100.00	97.82	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_12_length_137226_cov_37.060365	97349	98575	cardnewid_562	1-1227/1227	===============	0/0	100.00	97.96	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_12_length_137226_cov_37.060365	107206	108414	cardnewid_349	1-1209/1209	===============	0/0	100.00	98.18	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_14_length_129883_cov_37.907192	48463	49695	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.03	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_17_length_97714_cov_36.858896	19078	19554	cardnewid_1625	1-477/477	===============	0/0	100.00	97.90	cardformatted	001625	cardformatted~~~cardnewid_1625~~~001625
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_17_length_97714_cov_36.858896	40259	43372	cardnewid_1337	1-3114/3114	===============	0/0	100.00	98.91	cardformatted	001337	cardformatted~~~cardnewid_1337~~~001337
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_17_length_97714_cov_36.858896	74793	76097	cardnewid_1960	1-1305/1305	===============	0/0	100.00	96.32	cardformatted	001960	cardformatted~~~cardnewid_1960~~~001960
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_18_length_95511_cov_47.190121	5200	8304	cardnewid_1346	1-3105/3105	===============	0/0	100.00	97.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_18_length_95511_cov_47.190121	8316	9473	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.79	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
d215be5f-7cf4-403d-b4c5-652959a87eb7_1_contigs.fa	NODE_18_length_95511_cov_47.190121	9872	10534	cardnewid_486	1-663/663	===============	0/0	100.00	96.98	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
