#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_11_length_125668_cov_64.563329	62788	64161	cardnewid_137	1-1374/1374	===============	0/0	100.00	98.98	cardformatted	000137	cardformatted~~~cardnewid_137~~~000137
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_12_length_122979_cov_64.933451	57501	58031	cardnewid_1248	1-531/531	===============	0/0	100.00	100.00	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_12_length_122979_cov_64.933451	58158	59330	cardnewid_1650	1-1173/1173	===============	0/0	100.00	99.91	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_12_length_122979_cov_64.933451	59347	60885	cardnewid_1738	1-1539/1539	===============	0/0	100.00	100.00	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_13_length_119070_cov_64.526838	106143	106286	cardnewid_2055	535-678/678	...........====	0/0	21.24	90.28	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_13_length_119070_cov_64.526838	110248	110925	cardnewid_2055	1-678/678	===============	0/0	100.00	100.00	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_14_length_114737_cov_63.637982	95129	96877	cardnewid_2113	1-1749/1749	===============	0/0	100.00	100.00	cardformatted	002113	cardformatted~~~cardnewid_2113~~~002113
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_15_length_109868_cov_64.886166	18577	19803	cardnewid_562	1-1227/1227	===============	0/0	100.00	99.43	cardformatted	000562	cardformatted~~~cardnewid_562~~~000562
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_15_length_109868_cov_64.886166	28432	29640	cardnewid_349	1-1209/1209	===============	0/0	100.00	100.00	cardformatted	000349	cardformatted~~~cardnewid_349~~~000349
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_16_length_109162_cov_64.581226	67732	68145	cardnewid_1170	1-414/414	===============	0/0	100.00	99.28	cardformatted	001170	cardformatted~~~cardnewid_1170~~~001170
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_1_length_565845_cov_67.434015	284530	287634	cardnewid_1346	1-3105/3105	===============	0/0	100.00	99.97	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_1_length_565845_cov_67.434015	287646	288803	cardnewid_1353	1-1158/1158	===============	0/0	100.00	99.91	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_1_length_565845_cov_67.434015	289202	289864	cardnewid_486	1-663/663	===============	0/0	100.00	99.85	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_1_length_565845_cov_67.434015	499531	500352	cardnewid_1713	1-822/822	===============	0/0	100.00	100.00	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_1_length_565845_cov_67.434015	522728	524215	cardnewid_776	1-1488/1488	===============	0/0	100.00	100.00	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_20_length_91076_cov_62.748777	7702	8670	cardnewid_1968	1-969/969	===============	0/0	100.00	99.90	cardformatted	001968	cardformatted~~~cardnewid_1968~~~001968
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_23_length_64400_cov_66.772243	47849	48232	cardnewid_1808	1-384/384	===============	0/0	100.00	100.00	cardformatted	001808	cardformatted~~~cardnewid_1808~~~001808
1a815893-81f3-4a26-85a8-2e027b12da73_1_contigs.fa	NODE_26_length_53300_cov_67.128741	31577	35170	cardnewid_1238	1-3594/3594	===============	0/0	100.00	100.00	cardformatted	001238	cardformatted~~~cardnewid_1238~~~001238
