#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_10_length_162622_cov_35.117112	54068	55300	cardnewid_2329	1-1233/1233	===============	0/0	100.00	96.59	cardformatted	002329	cardformatted~~~cardnewid_2329~~~002329
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_11_length_150866_cov_37.750187	15085	15717	cardnewid_816	1-633/633	===============	0/0	100.00	99.05	cardformatted	000816	cardformatted~~~cardnewid_816~~~000816
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_12_length_147569_cov_36.347917	59712	60242	cardnewid_1248	1-531/531	===============	0/0	100.00	99.44	cardformatted	001248	cardformatted~~~cardnewid_1248~~~001248
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_12_length_147569_cov_36.347917	60369	61541	cardnewid_1650	1-1173/1173	===============	0/0	100.00	97.95	cardformatted	001650	cardformatted~~~cardnewid_1650~~~001650
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_12_length_147569_cov_36.347917	61558	63096	cardnewid_1738	1-1539/1539	===============	0/0	100.00	97.99	cardformatted	001738	cardformatted~~~cardnewid_1738~~~001738
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_13_length_147276_cov_38.762723	89471	90937	cardnewid_37	1-1467/1467	===============	0/0	100.00	97.48	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_13_length_147276_cov_38.762723	90934	92985	cardnewid_1932	1-2052/2052	===============	0/0	100.00	96.35	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_13_length_147276_cov_38.762723	92985	94016	cardnewid_1350	1-1032/1032	===============	0/0	100.00	96.41	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_13_length_147276_cov_38.762723	116621	118264	cardnewid_609	1-1644/1644	===============	0/0	100.00	98.18	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_14_length_146726_cov_40.356266	104981	105454	cardnewid_1874	1-474/474	===============	0/0	100.00	99.79	cardformatted	001874	cardformatted~~~cardnewid_1874~~~001874
e4508d20-28fe-4234-b0ef-f3a580763da3_1_contigs.fa	NODE_14_length_146726_cov_40.356266	105549	106073	cardnewid_1215	1-525/525	===============	0/0	100.00	100.00	cardformatted	001215	cardformatted~~~cardnewid_1215~~~001215
