#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_10_length_169666_cov_46.772185	37119	38276	cardnewid_2001	1-1158/1158	===============	0/0	100.00	98.70	cardformatted	002001	cardformatted~~~cardnewid_2001~~~002001
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_10_length_169666_cov_46.772185	125464	128613	cardnewid_1033	1-3150/3150	===============	0/0	100.00	99.27	cardformatted	001033	cardformatted~~~cardnewid_1033~~~001033
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_10_length_169666_cov_46.772185	128636	129829	cardnewid_2244	1-1194/1194	===============	0/0	100.00	99.75	cardformatted	002244	cardformatted~~~cardnewid_2244~~~002244
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_12_length_154602_cov_48.459143	37701	39344	cardnewid_609	1-1644/1644	===============	0/0	100.00	99.45	cardformatted	000609	cardformatted~~~cardnewid_609~~~000609
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_12_length_154602_cov_48.459143	62067	63098	cardnewid_1350	1-1032/1032	===============	0/0	100.00	98.06	cardformatted	001350	cardformatted~~~cardnewid_1350~~~001350
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_12_length_154602_cov_48.459143	63098	65149	cardnewid_1932	1-2052/2052	===============	0/0	100.00	98.39	cardformatted	001932	cardformatted~~~cardnewid_1932~~~001932
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_12_length_154602_cov_48.459143	65146	66612	cardnewid_37	1-1467/1467	===============	0/0	100.00	98.23	cardformatted	000037	cardformatted~~~cardnewid_37~~~000037
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_13_length_149113_cov_48.687451	5603	8707	cardnewid_1346	1-3105/3105	===============	0/0	100.00	98.87	cardformatted	001346	cardformatted~~~cardnewid_1346~~~001346
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_13_length_149113_cov_48.687451	8719	9876	cardnewid_1353	1-1158/1158	===============	0/0	100.00	98.96	cardformatted	001353	cardformatted~~~cardnewid_1353~~~001353
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_13_length_149113_cov_48.687451	10275	10937	cardnewid_486	1-663/663	===============	0/0	100.00	99.40	cardformatted	000486	cardformatted~~~cardnewid_486~~~000486
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_14_length_135043_cov_44.877940	7843	8515	cardnewid_2055	1-673/678	===============	0/0	99.26	97.18	cardformatted	002055	cardformatted~~~cardnewid_2055~~~002055
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_15_length_126432_cov_47.488528	65516	66335	cardnewid_1713	1-820/822	===============	0/0	99.76	98.90	cardformatted	001713	cardformatted~~~cardnewid_1713~~~001713
29633c8d-44bf-4ec6-9db9-7687ea17bdb8_1_contigs.fa	NODE_15_length_126432_cov_47.488528	88693	90180	cardnewid_776	1-1488/1488	===============	0/0	100.00	98.32	cardformatted	000776	cardformatted~~~cardnewid_776~~~000776
